# _root_ In addition to increasing costs as a result of greater financial exposure for members , these measures could have other , far-reaching repercussions .
#goldHeads=18,1,2,3,4,4,8,6,8,12,12,9,12,13,18,17,18,0,18,22,22,23,19,18,
#predictedHeads=18,1,2,5,3,5,8,6,8,12,12,9,12,13,18,17,18,0,18,23,23,23,19,18,
(5,5),(5,13),-0.257924 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,14),-0.672945 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,15),-1.17005 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,18),-0.416071 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,21),-1.02889 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,24),-0.885061 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,25),-0.449742 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(5,6),(5,8),-0.802616 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,9),-0.617426 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,10),-0.778632 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,12),-0.770638 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,13),-0.535069 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,14),-0.80284 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,15),-0.213312 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,18),-1.01829 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,21),-0.315481 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,24),-0.656661 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,25),-0.646421 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,8),(5,9),-0.496447 # DEPENDENCYPART_NEXTSIBL
(5,8),(5,10),-0.841873 # DEPENDENCYPART_NEXTSIBL
(5,8),(5,12),-1.13518 # DEPENDENCYPART_NEXTSIBL
(5,8),(5,13),-0.528376 # DEPENDENCYPART_NEXTSIBL
(5,8),(5,14),-1.2446 # DEPENDENCYPART_NEXTSIBL
(5,8),(5,15),-0.446216 # DEPENDENCYPART_NEXTSIBL
(5,8),(5,18),-0.85071 # DEPENDENCYPART_NEXTSIBL
(5,8),(5,21),-0.454144 # DEPENDENCYPART_NEXTSIBL
(5,8),(5,24),-0.282248 # DEPENDENCYPART_NEXTSIBL
(5,8),(5,25),-0.428098 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,9),(5,10),-0.734209 # DEPENDENCYPART_NEXTSIBL
(5,9),(5,12),-0.748128 # DEPENDENCYPART_NEXTSIBL
(5,9),(5,13),-0.231628 # DEPENDENCYPART_NEXTSIBL
(5,9),(5,14),-0.770563 # DEPENDENCYPART_NEXTSIBL
(5,9),(5,15),-0.446392 # DEPENDENCYPART_NEXTSIBL
(5,9),(5,18),-0.883333 # DEPENDENCYPART_NEXTSIBL
(5,9),(5,21),-0.623276 # DEPENDENCYPART_NEXTSIBL
(5,9),(5,24),-0.3228 # DEPENDENCYPART_NEXTSIBL
(5,9),(5,25),-0.451752 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,10),(5,12),-1.22533 # DEPENDENCYPART_NEXTSIBL
(5,10),(5,13),-1.15644 # DEPENDENCYPART_NEXTSIBL
(5,10),(5,14),-1.31459 # DEPENDENCYPART_NEXTSIBL
(5,10),(5,15),-0.83391 # DEPENDENCYPART_NEXTSIBL
(5,10),(5,18),-1.252 # DEPENDENCYPART_NEXTSIBL
(5,10),(5,21),-0.905089 # DEPENDENCYPART_NEXTSIBL
(5,10),(5,24),-1.07618 # DEPENDENCYPART_NEXTSIBL
(5,10),(5,25),-0.600494 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,12),(5,13),-0.415743 # DEPENDENCYPART_NEXTSIBL
(5,12),(5,14),-0.976989 # DEPENDENCYPART_NEXTSIBL
(5,12),(5,15),-0.478656 # DEPENDENCYPART_NEXTSIBL
(5,12),(5,18),-0.778304 # DEPENDENCYPART_NEXTSIBL
(5,12),(5,21),-0.398391 # DEPENDENCYPART_NEXTSIBL
(5,12),(5,24),-0.441098 # DEPENDENCYPART_NEXTSIBL
(5,12),(5,25),-0.101716 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,13),(5,14),-0.997066 # DEPENDENCYPART_NEXTSIBL
(5,13),(5,15),-0.578784 # DEPENDENCYPART_NEXTSIBL
(5,13),(5,18),-0.807587 # DEPENDENCYPART_NEXTSIBL
(5,13),(5,21),-0.622604 # DEPENDENCYPART_NEXTSIBL
(5,13),(5,24),-0.578303 # DEPENDENCYPART_NEXTSIBL
(5,13),(5,25),-0.417737 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,14),(5,15),-0.515399 # DEPENDENCYPART_NEXTSIBL
(5,14),(5,18),-0.993035 # DEPENDENCYPART_NEXTSIBL
(5,14),(5,21),-0.694618 # DEPENDENCYPART_NEXTSIBL
(5,14),(5,24),-0.683895 # DEPENDENCYPART_NEXTSIBL
(5,14),(5,25),-0.592935 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,15),(5,18),-0.539055 # DEPENDENCYPART_NEXTSIBL
(5,15),(5,21),-1.15257 # DEPENDENCYPART_NEXTSIBL
(5,15),(5,24),-0.987536 # DEPENDENCYPART_NEXTSIBL
(5,15),(5,25),-0.684138 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,18),(5,21),-0.361322 # DEPENDENCYPART_NEXTSIBL
(5,18),(5,24),-0.121707 # DEPENDENCYPART_NEXTSIBL
(5,18),(5,25),-0.295536 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,21),(5,24),-0.846512 # DEPENDENCYPART_NEXTSIBL
(5,21),(5,25),-0.510331 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,24),(5,25),-1.48658 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,5),(5,4),-0.367405 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,3),-0.4922 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,2),-0.357649 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,1),-0.805663 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,-1),-0.416868 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(5,4),(5,3),-0.527903 # DEPENDENCYPART_NEXTSIBL
(5,4),(5,2),-0.623691 # DEPENDENCYPART_NEXTSIBL
(5,4),(5,1),-0.966703 # DEPENDENCYPART_NEXTSIBL
(5,4),(5,-1),-0.681611 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,3),(5,2),-0.204419 # DEPENDENCYPART_NEXTSIBL
(5,3),(5,1),-0.898552 # DEPENDENCYPART_NEXTSIBL
(5,3),(5,-1),-0.594383 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,2),(5,1),-0.581514 # DEPENDENCYPART_NEXTSIBL
(5,2),(5,-1),-0.659923 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,1),(5,-1),-0.57276 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,6),(6,7),-0.739408 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,8),-0.365928 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,9),-0.124965 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,10),-0.501362 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,11),-0.204756 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,12),-0.241597 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,14),-0.598183 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,25),-0.629317 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(6,7),(6,8),-0.641319 # DEPENDENCYPART_NEXTSIBL
(6,7),(6,9),-0.908531 # DEPENDENCYPART_NEXTSIBL
(6,7),(6,10),-1.0849 # DEPENDENCYPART_NEXTSIBL
(6,7),(6,11),-1.0602 # DEPENDENCYPART_NEXTSIBL
(6,7),(6,12),-0.954124 # DEPENDENCYPART_NEXTSIBL
(6,7),(6,14),-1.07158 # DEPENDENCYPART_NEXTSIBL
(6,7),(6,25),-1.1314 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,8),(6,9),-0.416034 # DEPENDENCYPART_NEXTSIBL
(6,8),(6,10),-0.847633 # DEPENDENCYPART_NEXTSIBL
(6,8),(6,11),-0.853575 # DEPENDENCYPART_NEXTSIBL
(6,8),(6,12),-1.30353 # DEPENDENCYPART_NEXTSIBL
(6,8),(6,14),-1.40841 # DEPENDENCYPART_NEXTSIBL
(6,8),(6,25),-0.331289 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,9),(6,10),-0.666284 # DEPENDENCYPART_NEXTSIBL
(6,9),(6,11),-0.659327 # DEPENDENCYPART_NEXTSIBL
(6,9),(6,12),-0.627697 # DEPENDENCYPART_NEXTSIBL
(6,9),(6,14),-0.643569 # DEPENDENCYPART_NEXTSIBL
(6,9),(6,25),-0.557774 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,10),(6,11),-1.04352 # DEPENDENCYPART_NEXTSIBL
(6,10),(6,12),-1.26262 # DEPENDENCYPART_NEXTSIBL
(6,10),(6,14),-1.34732 # DEPENDENCYPART_NEXTSIBL
(6,10),(6,25),-0.583505 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,11),(6,12),-0.894887 # DEPENDENCYPART_NEXTSIBL
(6,11),(6,14),-1.09511 # DEPENDENCYPART_NEXTSIBL
(6,11),(6,25),-0.850862 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,12),(6,14),-1.16498 # DEPENDENCYPART_NEXTSIBL
(6,12),(6,25),-0.0619574 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,14),(6,25),-0.550134 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,6),(6,5),-0.251912 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,4),-0.404302 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,3),-0.438479 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,2),-0.392101 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,1),-0.801649 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,-1),-0.23848 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(6,5),(6,4),-0.90708 # DEPENDENCYPART_NEXTSIBL
(6,5),(6,3),-1.21941 # DEPENDENCYPART_NEXTSIBL
(6,5),(6,2),-1.5266 # DEPENDENCYPART_NEXTSIBL
(6,5),(6,1),-1.04834 # DEPENDENCYPART_NEXTSIBL
(6,5),(6,-1),-0.725026 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,4),(6,3),-0.53847 # DEPENDENCYPART_NEXTSIBL
(6,4),(6,2),-0.793491 # DEPENDENCYPART_NEXTSIBL
(6,4),(6,1),-0.971829 # DEPENDENCYPART_NEXTSIBL
(6,4),(6,-1),-0.811883 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,3),(6,2),-0.191006 # DEPENDENCYPART_NEXTSIBL
(6,3),(6,1),-0.763232 # DEPENDENCYPART_NEXTSIBL
(6,3),(6,-1),-0.618347 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,2),(6,1),-0.522714 # DEPENDENCYPART_NEXTSIBL
(6,2),(6,-1),-0.747357 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,1),(6,-1),-0.565035 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,7),(7,9),-0.0976418 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,25),-0.222425 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(7,9),(7,25),-0.565947 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,7),(7,-1),-0.297077 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(8,8),(8,9),-0.0509593 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,10),-0.565246 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,11),-0.261667 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,12),-0.297637 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,13),-0.301054 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,14),-0.662276 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,15),-1.1344 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,16),-0.442546 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,17),-0.115454 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,18),-0.407891 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,19),0.00415266 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,20),-0.301453 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,21),-0.993239 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,23),-0.422091 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,24),-0.888043 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,25),-0.402052 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(8,9),(8,10),-0.768706 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,11),-0.759855 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,12),-0.77874 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,13),-0.319054 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,14),-0.801174 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,15),-0.460639 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,16),-0.98682 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,17),-0.699075 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,18),-0.911193 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,19),-0.571054 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,20),-0.971584 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,21),-0.637523 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,23),-0.7623 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,24),-0.353408 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,25),-0.504053 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,10),(8,11),-1.10314 # DEPENDENCYPART_NEXTSIBL
(8,10),(8,12),-1.22492 # DEPENDENCYPART_NEXTSIBL
(8,10),(8,13),-1.20022 # DEPENDENCYPART_NEXTSIBL
(8,10),(8,14),-1.31418 # DEPENDENCYPART_NEXTSIBL
(8,10),(8,15),-0.821396 # DEPENDENCYPART_NEXTSIBL
(8,10),(8,16),-1.15829 # DEPENDENCYPART_NEXTSIBL
(8,10),(8,17),-1.43342 # DEPENDENCYPART_NEXTSIBL
(8,10),(8,18),-1.25141 # DEPENDENCYPART_NEXTSIBL
(8,10),(8,19),-0.772306 # DEPENDENCYPART_NEXTSIBL
(8,10),(8,20),-1.33945 # DEPENDENCYPART_NEXTSIBL
(8,10),(8,21),-0.892574 # DEPENDENCYPART_NEXTSIBL
(8,10),(8,23),-1.5096 # DEPENDENCYPART_NEXTSIBL
(8,10),(8,24),-1.07933 # DEPENDENCYPART_NEXTSIBL
(8,10),(8,25),-0.60694 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,11),(8,12),-0.855564 # DEPENDENCYPART_NEXTSIBL
(8,11),(8,13),-0.974034 # DEPENDENCYPART_NEXTSIBL
(8,11),(8,14),-1.06035 # DEPENDENCYPART_NEXTSIBL
(8,11),(8,15),-0.593594 # DEPENDENCYPART_NEXTSIBL
(8,11),(8,16),-0.94702 # DEPENDENCYPART_NEXTSIBL
(8,11),(8,17),-1.13801 # DEPENDENCYPART_NEXTSIBL
(8,11),(8,18),-1.04371 # DEPENDENCYPART_NEXTSIBL
(8,11),(8,19),-0.579773 # DEPENDENCYPART_NEXTSIBL
(8,11),(8,20),-1.12814 # DEPENDENCYPART_NEXTSIBL
(8,11),(8,21),-0.599666 # DEPENDENCYPART_NEXTSIBL
(8,11),(8,23),-1.19871 # DEPENDENCYPART_NEXTSIBL
(8,11),(8,24),-0.984682 # DEPENDENCYPART_NEXTSIBL
(8,11),(8,25),-0.870287 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,12),(8,13),-0.44837 # DEPENDENCYPART_NEXTSIBL
(8,12),(8,14),-0.969768 # DEPENDENCYPART_NEXTSIBL
(8,12),(8,15),-0.45934 # DEPENDENCYPART_NEXTSIBL
(8,12),(8,16),-0.925319 # DEPENDENCYPART_NEXTSIBL
(8,12),(8,17),-1.00162 # DEPENDENCYPART_NEXTSIBL
(8,12),(8,18),-0.770902 # DEPENDENCYPART_NEXTSIBL
(8,12),(8,19),-0.732438 # DEPENDENCYPART_NEXTSIBL
(8,12),(8,20),-0.870604 # DEPENDENCYPART_NEXTSIBL
(8,12),(8,21),-0.379075 # DEPENDENCYPART_NEXTSIBL
(8,12),(8,23),-1.17766 # DEPENDENCYPART_NEXTSIBL
(8,12),(8,24),-0.436801 # DEPENDENCYPART_NEXTSIBL
(8,12),(8,25),-0.0953439 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,13),(8,14),-1.03313 # DEPENDENCYPART_NEXTSIBL
(8,13),(8,15),-0.598568 # DEPENDENCYPART_NEXTSIBL
(8,13),(8,16),-1.08748 # DEPENDENCYPART_NEXTSIBL
(8,13),(8,17),-0.73504 # DEPENDENCYPART_NEXTSIBL
(8,13),(8,18),-0.842414 # DEPENDENCYPART_NEXTSIBL
(8,13),(8,19),-0.672901 # DEPENDENCYPART_NEXTSIBL
(8,13),(8,20),-1.09708 # DEPENDENCYPART_NEXTSIBL
(8,13),(8,21),-0.642388 # DEPENDENCYPART_NEXTSIBL
(8,13),(8,23),-0.765181 # DEPENDENCYPART_NEXTSIBL
(8,13),(8,24),-0.618927 # DEPENDENCYPART_NEXTSIBL
(8,13),(8,25),-0.482769 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,14),(8,15),-0.496083 # DEPENDENCYPART_NEXTSIBL
(8,14),(8,16),-1.12004 # DEPENDENCYPART_NEXTSIBL
(8,14),(8,17),-1.1963 # DEPENDENCYPART_NEXTSIBL
(8,14),(8,18),-0.985632 # DEPENDENCYPART_NEXTSIBL
(8,14),(8,19),-1.04608 # DEPENDENCYPART_NEXTSIBL
(8,14),(8,20),-1.03849 # DEPENDENCYPART_NEXTSIBL
(8,14),(8,21),-0.675302 # DEPENDENCYPART_NEXTSIBL
(8,14),(8,23),-1.33627 # DEPENDENCYPART_NEXTSIBL
(8,14),(8,24),-0.679599 # DEPENDENCYPART_NEXTSIBL
(8,14),(8,25),-0.586563 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,15),(8,16),-0.485079 # DEPENDENCYPART_NEXTSIBL
(8,15),(8,17),-0.208556 # DEPENDENCYPART_NEXTSIBL
(8,15),(8,18),-0.522039 # DEPENDENCYPART_NEXTSIBL
(8,15),(8,19),-0.542455 # DEPENDENCYPART_NEXTSIBL
(8,15),(8,20),-0.491519 # DEPENDENCYPART_NEXTSIBL
(8,15),(8,21),-1.12117 # DEPENDENCYPART_NEXTSIBL
(8,15),(8,23),-0.168833 # DEPENDENCYPART_NEXTSIBL
(8,15),(8,24),-0.973112 # DEPENDENCYPART_NEXTSIBL
(8,15),(8,25),-0.660938 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,16),(8,17),-0.632369 # DEPENDENCYPART_NEXTSIBL
(8,16),(8,18),-0.71812 # DEPENDENCYPART_NEXTSIBL
(8,16),(8,19),-0.681527 # DEPENDENCYPART_NEXTSIBL
(8,16),(8,20),-0.859613 # DEPENDENCYPART_NEXTSIBL
(8,16),(8,21),-0.749456 # DEPENDENCYPART_NEXTSIBL
(8,16),(8,23),-0.978215 # DEPENDENCYPART_NEXTSIBL
(8,16),(8,24),-0.88516 # DEPENDENCYPART_NEXTSIBL
(8,16),(8,25),-0.487993 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,17),(8,18),-0.886679 # DEPENDENCYPART_NEXTSIBL
(8,17),(8,19),-0.804935 # DEPENDENCYPART_NEXTSIBL
(8,17),(8,20),-0.942001 # DEPENDENCYPART_NEXTSIBL
(8,17),(8,21),-0.596236 # DEPENDENCYPART_NEXTSIBL
(8,17),(8,23),-1.34388 # DEPENDENCYPART_NEXTSIBL
(8,17),(8,24),-0.71333 # DEPENDENCYPART_NEXTSIBL
(8,17),(8,25),0.162814 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,18),(8,19),-0.768438 # DEPENDENCYPART_NEXTSIBL
(8,18),(8,20),-0.780263 # DEPENDENCYPART_NEXTSIBL
(8,18),(8,21),-0.339792 # DEPENDENCYPART_NEXTSIBL
(8,18),(8,23),-0.809841 # DEPENDENCYPART_NEXTSIBL
(8,18),(8,24),-0.11304 # DEPENDENCYPART_NEXTSIBL
(8,18),(8,25),-0.292181 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,19),(8,20),-0.967589 # DEPENDENCYPART_NEXTSIBL
(8,19),(8,21),-0.254313 # DEPENDENCYPART_NEXTSIBL
(8,19),(8,23),-0.84923 # DEPENDENCYPART_NEXTSIBL
(8,19),(8,24),-0.264974 # DEPENDENCYPART_NEXTSIBL
(8,19),(8,25),-0.594814 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,20),(8,21),-0.646917 # DEPENDENCYPART_NEXTSIBL
(8,20),(8,23),-1.04119 # DEPENDENCYPART_NEXTSIBL
(8,20),(8,24),-0.812373 # DEPENDENCYPART_NEXTSIBL
(8,20),(8,25),-0.5967 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,21),(8,23),-0.499954 # DEPENDENCYPART_NEXTSIBL
(8,21),(8,24),-0.832088 # DEPENDENCYPART_NEXTSIBL
(8,21),(8,25),-0.487131 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,23),(8,24),-0.454261 # DEPENDENCYPART_NEXTSIBL
(8,23),(8,25),-0.623568 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,24),(8,25),-1.48959 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,8),(8,7),-0.530941 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,6),-0.634946 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,5),-0.236779 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,4),-0.368373 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,1),-0.809561 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,-1),-0.442583 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(8,7),(8,6),-0.83625 # DEPENDENCYPART_NEXTSIBL
(8,7),(8,5),-0.976629 # DEPENDENCYPART_NEXTSIBL
(8,7),(8,4),-1.11971 # DEPENDENCYPART_NEXTSIBL
(8,7),(8,1),-1.13713 # DEPENDENCYPART_NEXTSIBL
(8,7),(8,-1),-0.499146 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,6),(8,5),-0.798947 # DEPENDENCYPART_NEXTSIBL
(8,6),(8,4),-1.06998 # DEPENDENCYPART_NEXTSIBL
(8,6),(8,1),-1.33081 # DEPENDENCYPART_NEXTSIBL
(8,6),(8,-1),-0.544363 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,5),(8,4),-0.720956 # DEPENDENCYPART_NEXTSIBL
(8,5),(8,1),-1.11376 # DEPENDENCYPART_NEXTSIBL
(8,5),(8,-1),-0.654557 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,4),(8,1),-0.974424 # DEPENDENCYPART_NEXTSIBL
(8,4),(8,-1),-0.690334 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,1),(8,-1),-0.583045 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,9),(9,10),-0.529453 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,11),-0.232874 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,12),-0.0371235 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,13),-0.550007 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,14),-0.425182 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,17),0.142817 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,18),-0.464548 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,23),-0.162641 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,25),-0.935674 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(9,10),(9,11),-1.08078 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,12),-1.22606 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,13),-1.19562 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,14),-1.32818 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,17),-1.43615 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,18),-1.27346 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,23),-1.51104 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,25),-0.639125 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,11),(9,12),-0.858338 # DEPENDENCYPART_NEXTSIBL
(9,11),(9,13),-0.971347 # DEPENDENCYPART_NEXTSIBL
(9,11),(9,14),-1.07598 # DEPENDENCYPART_NEXTSIBL
(9,11),(9,17),-1.14238 # DEPENDENCYPART_NEXTSIBL
(9,11),(9,18),-1.06768 # DEPENDENCYPART_NEXTSIBL
(9,11),(9,23),-1.20178 # DEPENDENCYPART_NEXTSIBL
(9,11),(9,25),-0.906505 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,12),(9,13),-0.418488 # DEPENDENCYPART_NEXTSIBL
(9,12),(9,14),-1.10714 # DEPENDENCYPART_NEXTSIBL
(9,12),(9,17),-1.12772 # DEPENDENCYPART_NEXTSIBL
(9,12),(9,18),-0.810712 # DEPENDENCYPART_NEXTSIBL
(9,12),(9,23),-1.30248 # DEPENDENCYPART_NEXTSIBL
(9,12),(9,25),0.129595 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,13),(9,14),-1.03866 # DEPENDENCYPART_NEXTSIBL
(9,13),(9,17),-0.727053 # DEPENDENCYPART_NEXTSIBL
(9,13),(9,18),-0.908587 # DEPENDENCYPART_NEXTSIBL
(9,13),(9,23),-0.757755 # DEPENDENCYPART_NEXTSIBL
(9,13),(9,25),-0.620109 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,14),(9,17),-1.33526 # DEPENDENCYPART_NEXTSIBL
(9,14),(9,18),-1.0383 # DEPENDENCYPART_NEXTSIBL
(9,14),(9,23),-1.47395 # DEPENDENCYPART_NEXTSIBL
(9,14),(9,25),-0.393853 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,17),(9,18),-0.92808 # DEPENDENCYPART_NEXTSIBL
(9,17),(9,23),-1.47029 # DEPENDENCYPART_NEXTSIBL
