# _root_ In the third quarter , wages and salaries in all private industry rose 1.2 % , compared with 1 % increases in both the second quarter and in the third quarter of 1988 .
#goldHeads=13,4,4,1,13,7,13,7,7,12,12,9,0,15,13,13,13,17,21,21,18,27,26,26,26,22,21,27,31,31,28,31,32,13,
#predictedHeads=13,4,4,1,13,7,13,7,7,12,12,9,0,15,13,13,13,17,20,21,18,21,27,26,26,22,21,27,31,31,28,31,32,13,
(8,7),(7,12),(7,35),-0.219733 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,7),(7,13),(7,14),-0.125049 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,13),(7,15),-0.126439 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,13),(7,16),-0.124964 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,13),(7,17),-0.124895 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,13),(7,18),-0.125306 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,13),(7,34),-0.124905 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,13),(7,35),-0.121048 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,7),(7,14),(7,15),-0.125202 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,14),(7,16),-0.125179 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,14),(7,17),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,14),(7,18),-0.127115 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,14),(7,34),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,14),(7,35),-0.160526 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,7),(7,15),(7,16),-0.126461 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,15),(7,17),-0.127112 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,15),(7,18),-0.127877 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,15),(7,34),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,15),(7,35),-0.217151 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,7),(7,16),(7,17),-0.128055 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,16),(7,18),-0.12642 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,16),(7,34),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,16),(7,35),-0.124484 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,7),(7,17),(7,18),-0.125306 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,17),(7,34),-0.124905 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,17),(7,35),-0.121194 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,7),(7,18),(7,34),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,18),(7,35),-0.0295332 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,7),(7,34),(7,35),-0.126517 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,7),(7,7),(7,6),-0.0651434 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,7),(7,5),-0.0534173 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,7),(7,4),-0.0695593 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,7),(7,3),0.111202 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,7),(7,2),0.00130288 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,7),(7,1),-0.00842222 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,7),(7,-1),-0.335746 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,7),(7,6),(7,5),-0.05004 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,6),(7,4),-0.0585896 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,6),(7,3),-0.150945 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,6),(7,2),-0.0502104 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,6),(7,1),-0.0347023 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,6),(7,-1),0.00367373 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,7),(7,5),(7,4),-0.140863 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,5),(7,3),0.141952 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,5),(7,2),-0.0431709 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,5),(7,1),-0.0683345 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,5),(7,-1),-0.0839594 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,7),(7,4),(7,3),-0.150945 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,4),(7,2),-0.0502104 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,4),(7,1),-0.0347023 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,4),(7,-1),-0.00074218 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,7),(7,3),(7,2),-0.0557544 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,3),(7,1),-0.0654383 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,3),(7,-1),0.0809497 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,7),(7,2),(7,1),-0.0440733 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,2),(7,-1),-0.0320557 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,7),(7,1),(7,-1),0.0125162 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,9),(9,9),(9,10),-0.0479427 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,9),(9,9),(9,11),-0.0435755 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,9),(9,9),(9,12),0.101275 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,9),(9,9),(9,13),-0.0270321 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,9),(9,9),(9,14),-0.00692726 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,9),(9,9),(9,15),0.0889158 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,9),(9,9),(9,35),-0.362224 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,9),(9,10),(9,11),-0.04345 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,10),(9,12),-0.0522035 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,10),(9,13),-0.042118 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,10),(9,14),-0.0439772 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,10),(9,15),-0.052203 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,10),(9,35),-0.0107035 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,9),(9,11),(9,12),-0.0439327 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,11),(9,13),-0.0375041 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,11),(9,14),-0.0494256 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,11),(9,15),-0.0439419 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,11),(9,35),-0.0353205 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,9),(9,12),(9,13),-0.0519586 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,12),(9,14),-0.0387123 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,12),(9,15),-0.0842749 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,12),(9,35),0.0497403 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,9),(9,13),(9,14),-0.0420224 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,13),(9,15),-0.0447262 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,13),(9,35),-0.0147503 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,9),(9,14),(9,15),-0.052624 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,14),(9,35),-0.0396043 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,9),(9,15),(9,35),0.0487726 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,9),(9,9),(9,8),0.06125 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,9),(9,9),(9,7),-0.139249 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,9),(9,9),(9,-1),-0.0782014 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,9),(9,8),(9,7),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,9),(9,8),(9,-1),-0.141654 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,9),(9,7),(9,-1),-0.155587 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,10),(10,11),-0.0458863 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,35),0.089259 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,10),(10,11),(10,35),-0.0454926 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,10),(10,-1),0.0158813 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,11),(11,11),(11,13),-0.0470417 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,11),(11,11),(11,14),-0.0388998 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,11),(11,11),(11,35),0.0353719 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,11),(11,13),(11,14),-0.0421357 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,13),(11,35),-0.0418244 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,11),(11,14),(11,35),-0.0472557 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,11),(11,11),(11,10),0.118896 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,11),(11,11),(11,8),0.123634 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,11),(11,11),(11,-1),0.00683247 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,11),(11,10),(11,8),0.119164 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,11),(11,10),(11,-1),-0.130149 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,11),(11,8),(11,-1),-0.1213 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,12),(12,12),(12,13),0.0494431 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,14),-0.147136 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,15),-0.175412 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,16),0.138957 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,35),0.110479 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,12),(12,13),(12,14),-0.0425768 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,13),(12,15),-0.0471978 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,13),(12,16),-0.0566205 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,13),(12,35),-0.0111451 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,14),(12,15),-0.0571355 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,14),(12,16),-0.0358216 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,14),(12,35),-0.148356 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,15),(12,16),-0.0547174 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,15),(12,35),0.0102796 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,16),(12,35),-0.0437622 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,12),(12,11),0.0946529 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,10),0.12143 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,9),0.207757 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,8),0.15308 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,12),(12,12),(12,7),-0.139415 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,5),-0.129725 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,3),-0.126121 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,2),-0.125504 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,-1),0.0343742 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,12),(12,11),(12,10),0.149983 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,11),(12,9),0.116818 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,11),(12,8),0.135382 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,11),(12,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,11),(12,5),-0.125225 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,11),(12,3),-0.125158 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,11),(12,2),-0.12489 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,11),(12,-1),-0.155156 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,10),(12,9),0.115755 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,10),(12,8),0.1338 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,10),(12,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,10),(12,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,10),(12,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,10),(12,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,10),(12,-1),-0.147037 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,9),(12,8),0.116268 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,9),(12,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,9),(12,5),-0.124891 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,9),(12,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,9),(12,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,9),(12,-1),-0.0811551 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,8),(12,7),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,8),(12,5),-0.126785 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,8),(12,3),-0.125126 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,8),(12,2),-0.12581 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,8),(12,-1),-0.143168 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,12),(12,7),(12,5),0.0795841 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,7),(12,3),0.111851 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,7),(12,2),-0.0722834 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,7),(12,-1),-0.218541 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,5),(12,3),-0.12731 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,5),(12,2),-0.124894 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,5),(12,-1),-0.00337184 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,3),(12,2),-0.12489 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,3),(12,-1),-0.15738 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,2),(12,-1),-0.160118 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,13),(13,14),-0.00616406 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,15),-0.0425067 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,16),-0.0735426 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,17),-0.043266 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,18),-0.0307581 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,19),-0.00859028 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,21),-0.0307838 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,22),-0.00565388 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,23),-0.0810694 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,27),-0.0768973 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,28),-0.00565388 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,34),-0.048883 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,35),0.0693548 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,13),(13,14),(13,15),-0.0431686 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,14),(13,16),-0.0466537 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,14),(13,17),-0.0427885 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,14),(13,18),-0.0511086 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,14),(13,19),-0.0454366 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,14),(13,21),-0.0421085 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,14),(13,22),-0.0568688 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,14),(13,23),-0.0400825 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,14),(13,27),-0.0381663 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,14),(13,28),-0.0568688 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,14),(13,34),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,14),(13,35),-0.00182502 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,15),(13,16),-0.0673817 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,15),(13,17),-0.0546301 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,15),(13,18),-0.0025698 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,15),(13,19),-0.0436706 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,15),(13,21),-0.0345916 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,15),(13,22),-0.00284988 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,15),(13,23),-0.0561803 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,15),(13,27),-0.0661181 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,15),(13,28),-0.00284988 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,15),(13,34),-0.0550567 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,15),(13,35),-0.0555321 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,16),(13,17),-0.0810243 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,16),(13,18),-0.0623689 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,16),(13,19),-0.0421744 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,16),(13,21),-0.0358244 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,16),(13,22),-0.0608865 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,16),(13,23),-0.0282862 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,16),(13,27),-0.0249022 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,16),(13,28),-0.0608865 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,16),(13,34),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,16),(13,35),-0.0932726 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,17),(13,18),-0.0499701 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,17),(13,19),-0.0420629 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,17),(13,21),-0.0473122 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,17),(13,22),-0.0355316 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,17),(13,23),-0.0358407 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,17),(13,27),-0.0296008 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,17),(13,28),-0.0355316 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,17),(13,34),-0.0419652 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,17),(13,35),-0.0899893 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,18),(13,19),-0.0423718 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,18),(13,21),-0.046035 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,18),(13,22),-0.0407945 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,18),(13,23),-0.041695 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,18),(13,27),-0.0385604 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,18),(13,28),-0.0407945 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,18),(13,34),-0.0536926 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,18),(13,35),-0.0136116 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,19),(13,21),-0.0421085 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,19),(13,22),-0.0568688 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,19),(13,23),-0.0400825 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,19),(13,27),-0.0381663 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,19),(13,28),-0.0568688 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,19),(13,34),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,19),(13,35),-0.00374635 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,21),(13,22),-0.00680715 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,21),(13,23),-0.05618 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,21),(13,27),-0.0661178 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,21),(13,28),-0.00680715 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,21),(13,34),-0.0550567 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,21),(13,35),-0.0510233 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,22),(13,23),-0.0407933 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,22),(13,27),-0.0376587 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,22),(13,28),-0.0630035 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,22),(13,34),-0.0556684 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,22),(13,35),0.00517475 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,23),(13,27),-0.543235 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,23),(13,28),-0.20144 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,23),(13,34),-0.00479101 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,23),(13,35),-0.0547512 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,27),(13,28),-0.203357 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,27),(13,34),-0.00479101 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,27),(13,35),-0.0485952 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,28),(13,34),-0.0556684 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,28),(13,35),0.00517475 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,34),(13,35),-0.0871112 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,13),(13,12),0.161238 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,11),0.0475139 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,10),0.103775 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,9),0.199808 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,8),0.161489 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,13),(13,13),(13,7),-0.162738 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,6),-0.175297 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,5),-0.12509 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,4),-0.175297 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,3),-0.13088 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,1),-0.160534 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,-1),0.0419416 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,13),(13,12),(13,11),0.116168 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,12),(13,10),0.121385 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,12),(13,9),0.107307 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,12),(13,8),0.0945935 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,12),(13,7),-0.125032 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,12),(13,6),-0.124895 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,12),(13,5),-0.125057 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,12),(13,4),-0.124895 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,12),(13,3),-0.12492 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,12),(13,1),-0.126808 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,12),(13,-1),-0.0314762 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,11),(13,10),0.117513 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,11),(13,9),0.11802 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,11),(13,8),0.118057 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,11),(13,7),-0.124908 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,11),(13,6),-0.124907 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,11),(13,5),-0.12494 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,11),(13,4),-0.124907 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,11),(13,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,11),(13,1),-0.125905 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,11),(13,-1),-0.203636 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,10),(13,9),0.111984 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,10),(13,8),0.118698 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,10),(13,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,10),(13,6),-0.124886 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,10),(13,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,10),(13,4),-0.124886 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,10),(13,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
