# _root_ London-based LIT Holdings , the largest financer of traders in the Chicago options and futures markets , said yesterday it will incur a second-half loss as a result of the market plunge .
#goldHeads=3,3,18,3,7,7,3,7,8,7,16,16,14,16,14,10,3,0,18,21,18,21,25,25,22,22,28,26,28,32,32,29,18,
#predictedHeads=3,3,18,3,7,7,3,7,8,9,16,16,14,16,14,10,3,0,18,21,18,21,25,25,22,22,28,26,28,32,32,29,18,
(25,32),(32,31),0.175506 # DEPENDENCYPART_GRANDPAR
(26,24),(24,19),-0.19587 # DEPENDENCYPART_GRANDPAR
(26,24),(24,20),-0.114712 # DEPENDENCYPART_GRANDPAR
(26,24),(24,23),0.145464 # DEPENDENCYPART_GRANDPAR
(26,24),(24,26),-1.05776 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(26,24),(24,28),0.0584015 # DEPENDENCYPART_GRANDPAR
(26,24),(24,29),-0.265149 # DEPENDENCYPART_GRANDPAR
(26,25),(25,11),-0.209768 # DEPENDENCYPART_GRANDPAR
(26,25),(25,18),0.0215482 # DEPENDENCYPART_GRANDPAR
(26,25),(25,19),-0.21509 # DEPENDENCYPART_GRANDPAR
(26,25),(25,20),-0.0939962 # DEPENDENCYPART_GRANDPAR
(26,25),(25,23),0.108025 # DEPENDENCYPART_GRANDPAR
(26,25),(25,24),0.108803 # DEPENDENCYPART_GRANDPAR
(26,25),(25,26),-1.07603 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(26,25),(25,27),0.210509 # DEPENDENCYPART_GRANDPAR
(26,25),(25,28),0.0617166 # DEPENDENCYPART_GRANDPAR
(26,25),(25,29),-0.294342 # DEPENDENCYPART_GRANDPAR
(26,25),(25,32),-0.114536 # DEPENDENCYPART_GRANDPAR
(26,27),(27,29),0.282052 # DEPENDENCYPART_GRANDPAR
(26,28),(28,23),-0.510695 # DEPENDENCYPART_GRANDPAR
(26,28),(28,24),-0.431173 # DEPENDENCYPART_GRANDPAR
(26,28),(28,25),-0.538222 # DEPENDENCYPART_GRANDPAR
(26,28),(28,26),-0.694405 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(26,28),(28,27),0.998276 # DEPENDENCYPART_GRANDPAR
(26,28),(28,29),0.34322 # DEPENDENCYPART_GRANDPAR
(26,28),(28,30),-0.053472 # DEPENDENCYPART_GRANDPAR
(26,28),(28,31),-0.0307519 # DEPENDENCYPART_GRANDPAR
(26,28),(28,32),0.365121 # DEPENDENCYPART_GRANDPAR
(26,29),(29,25),-0.585317 # DEPENDENCYPART_GRANDPAR
(26,29),(29,27),0.642777 # DEPENDENCYPART_GRANDPAR
(26,29),(29,28),0.418124 # DEPENDENCYPART_GRANDPAR
(26,29),(29,30),-0.159954 # DEPENDENCYPART_GRANDPAR
(26,29),(29,31),0.00478083 # DEPENDENCYPART_GRANDPAR
(26,29),(29,32),0.378849 # DEPENDENCYPART_GRANDPAR
(26,31),(31,30),-0.0440774 # DEPENDENCYPART_GRANDPAR
(26,31),(31,32),0.340186 # DEPENDENCYPART_GRANDPAR
(26,32),(32,23),-0.510695 # DEPENDENCYPART_GRANDPAR
(26,32),(32,24),-0.431173 # DEPENDENCYPART_GRANDPAR
(26,32),(32,27),0.913875 # DEPENDENCYPART_GRANDPAR
(26,32),(32,28),0.578448 # DEPENDENCYPART_GRANDPAR
(26,32),(32,30),-0.102995 # DEPENDENCYPART_GRANDPAR
(26,32),(32,31),0.0814193 # DEPENDENCYPART_GRANDPAR
(27,29),(29,25),-0.698701 # DEPENDENCYPART_GRANDPAR
(27,29),(29,27),-0.800094 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(27,29),(29,28),0.206013 # DEPENDENCYPART_GRANDPAR
(27,29),(29,30),-0.0447202 # DEPENDENCYPART_GRANDPAR
(27,29),(29,31),0.182998 # DEPENDENCYPART_GRANDPAR
(27,29),(29,32),0.15339 # DEPENDENCYPART_GRANDPAR
(28,23),(23,24),0.162307 # DEPENDENCYPART_GRANDPAR
(28,23),(23,26),-0.155049 # DEPENDENCYPART_GRANDPAR
(28,23),(23,29),-0.175517 # DEPENDENCYPART_GRANDPAR
(28,24),(24,19),-0.482842 # DEPENDENCYPART_GRANDPAR
(28,24),(24,20),-0.336633 # DEPENDENCYPART_GRANDPAR
(28,24),(24,23),0.0796331 # DEPENDENCYPART_GRANDPAR
(28,24),(24,26),-0.145241 # DEPENDENCYPART_GRANDPAR
(28,24),(24,28),-1.0559 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(28,24),(24,29),-0.156358 # DEPENDENCYPART_GRANDPAR
(28,25),(25,11),-0.28612 # DEPENDENCYPART_GRANDPAR
(28,25),(25,18),-0.568015 # DEPENDENCYPART_GRANDPAR
(28,25),(25,19),-0.55078 # DEPENDENCYPART_GRANDPAR
(28,25),(25,20),-0.387358 # DEPENDENCYPART_GRANDPAR
(28,25),(25,23),-0.124354 # DEPENDENCYPART_GRANDPAR
(28,25),(25,24),0.0841423 # DEPENDENCYPART_GRANDPAR
(28,25),(25,26),-0.120989 # DEPENDENCYPART_GRANDPAR
(28,25),(25,27),0.669262 # DEPENDENCYPART_GRANDPAR
(28,25),(25,28),-1.05892 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(28,25),(25,29),-0.191395 # DEPENDENCYPART_GRANDPAR
(28,25),(25,32),-0.431802 # DEPENDENCYPART_GRANDPAR
(28,26),(26,24),0.271522 # DEPENDENCYPART_GRANDPAR
(28,26),(26,25),-0.245263 # DEPENDENCYPART_GRANDPAR
(28,26),(26,27),0.578803 # DEPENDENCYPART_GRANDPAR
(28,26),(26,28),-1.10457 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(28,26),(26,29),-0.191501 # DEPENDENCYPART_GRANDPAR
(28,26),(26,31),-0.407723 # DEPENDENCYPART_GRANDPAR
(28,26),(26,32),-0.477444 # DEPENDENCYPART_GRANDPAR
(28,27),(27,29),-0.175517 # DEPENDENCYPART_GRANDPAR
(28,29),(29,25),-0.855501 # DEPENDENCYPART_GRANDPAR
(28,29),(29,27),-0.0717637 # DEPENDENCYPART_GRANDPAR
(28,29),(29,28),-0.654512 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(28,29),(29,30),0.0158669 # DEPENDENCYPART_GRANDPAR
(28,29),(29,31),0.409718 # DEPENDENCYPART_GRANDPAR
(28,29),(29,32),0.270254 # DEPENDENCYPART_GRANDPAR
(28,30),(30,31),0.153369 # DEPENDENCYPART_GRANDPAR
(28,31),(31,30),0.141538 # DEPENDENCYPART_GRANDPAR
(28,31),(31,32),0.105842 # DEPENDENCYPART_GRANDPAR
(28,32),(32,23),-0.46822 # DEPENDENCYPART_GRANDPAR
(28,32),(32,24),-0.313258 # DEPENDENCYPART_GRANDPAR
(28,32),(32,27),-0.138388 # DEPENDENCYPART_GRANDPAR
(28,32),(32,28),-0.538401 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(28,32),(32,30),0.118793 # DEPENDENCYPART_GRANDPAR
(28,32),(32,31),0.140268 # DEPENDENCYPART_GRANDPAR
(29,25),(25,11),-0.161794 # DEPENDENCYPART_GRANDPAR
(29,25),(25,18),-0.279863 # DEPENDENCYPART_GRANDPAR
(29,25),(25,19),-0.605797 # DEPENDENCYPART_GRANDPAR
(29,25),(25,20),-0.358426 # DEPENDENCYPART_GRANDPAR
(29,25),(25,23),0.133135 # DEPENDENCYPART_GRANDPAR
(29,25),(25,24),-0.21457 # DEPENDENCYPART_GRANDPAR
(29,25),(25,26),-0.204304 # DEPENDENCYPART_GRANDPAR
(29,25),(25,27),0.00932253 # DEPENDENCYPART_GRANDPAR
(29,25),(25,28),-0.151516 # DEPENDENCYPART_GRANDPAR
(29,25),(25,29),-0.794574 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(29,25),(25,32),0.335269 # DEPENDENCYPART_GRANDPAR
(29,27),(27,29),-0.782458 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(29,28),(28,23),0.116133 # DEPENDENCYPART_GRANDPAR
(29,28),(28,24),-0.213513 # DEPENDENCYPART_GRANDPAR
(29,28),(28,25),-0.499844 # DEPENDENCYPART_GRANDPAR
(29,28),(28,26),-0.0151718 # DEPENDENCYPART_GRANDPAR
(29,28),(28,27),0.121446 # DEPENDENCYPART_GRANDPAR
(29,28),(28,29),-0.794176 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(29,28),(28,30),0.300652 # DEPENDENCYPART_GRANDPAR
(29,28),(28,31),0.0808823 # DEPENDENCYPART_GRANDPAR
(29,28),(28,32),0.33543 # DEPENDENCYPART_GRANDPAR
(29,30),(30,31),0.522483 # DEPENDENCYPART_GRANDPAR
(29,31),(31,30),0.945367 # DEPENDENCYPART_GRANDPAR
(29,31),(31,32),0.685007 # DEPENDENCYPART_GRANDPAR
(29,32),(32,23),-0.502242 # DEPENDENCYPART_GRANDPAR
(29,32),(32,24),-0.723714 # DEPENDENCYPART_GRANDPAR
(29,32),(32,27),-0.496929 # DEPENDENCYPART_GRANDPAR
(29,32),(32,28),-0.69142 # DEPENDENCYPART_GRANDPAR
(29,32),(32,30),0.88247 # DEPENDENCYPART_GRANDPAR
(29,32),(32,31),0.699685 # DEPENDENCYPART_GRANDPAR
(30,31),(31,30),-0.731389 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(30,31),(31,32),0.0779 # DEPENDENCYPART_GRANDPAR
(31,30),(30,31),-1.30003 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(31,32),(32,23),-0.981097 # DEPENDENCYPART_GRANDPAR
(31,32),(32,24),-0.884993 # DEPENDENCYPART_GRANDPAR
(31,32),(32,27),-0.696587 # DEPENDENCYPART_GRANDPAR
(31,32),(32,28),-0.917979 # DEPENDENCYPART_GRANDPAR
(31,32),(32,30),-0.548643 # DEPENDENCYPART_GRANDPAR
(31,32),(32,31),-0.841594 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(32,23),(23,24),-0.241813 # DEPENDENCYPART_GRANDPAR
(32,23),(23,26),-0.179999 # DEPENDENCYPART_GRANDPAR
(32,23),(23,29),0.0423617 # DEPENDENCYPART_GRANDPAR
(32,24),(24,19),-0.571551 # DEPENDENCYPART_GRANDPAR
(32,24),(24,20),-0.360348 # DEPENDENCYPART_GRANDPAR
(32,24),(24,23),-0.12174 # DEPENDENCYPART_GRANDPAR
(32,24),(24,26),-0.16886 # DEPENDENCYPART_GRANDPAR
(32,24),(24,28),0.0569953 # DEPENDENCYPART_GRANDPAR
(32,24),(24,29),0.113649 # DEPENDENCYPART_GRANDPAR
(32,27),(27,29),0.0423617 # DEPENDENCYPART_GRANDPAR
(32,28),(28,23),-0.347985 # DEPENDENCYPART_GRANDPAR
(32,28),(28,24),-0.329465 # DEPENDENCYPART_GRANDPAR
(32,28),(28,25),-0.404121 # DEPENDENCYPART_GRANDPAR
(32,28),(28,26),-0.135477 # DEPENDENCYPART_GRANDPAR
(32,28),(28,27),-0.0213415 # DEPENDENCYPART_GRANDPAR
(32,28),(28,29),0.202196 # DEPENDENCYPART_GRANDPAR
(32,28),(28,30),0.511162 # DEPENDENCYPART_GRANDPAR
(32,28),(28,31),0.455027 # DEPENDENCYPART_GRANDPAR
(32,28),(28,32),-0.920233 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(32,30),(30,31),0.347043 # DEPENDENCYPART_GRANDPAR
(32,31),(31,30),0.298185 # DEPENDENCYPART_GRANDPAR
(32,31),(31,32),-0.920262 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(33,32),(32,23),-0.442697 # DEPENDENCYPART_GRANDPAR
(33,32),(32,24),-0.438466 # DEPENDENCYPART_GRANDPAR
(33,32),(32,27),-0.390529 # DEPENDENCYPART_GRANDPAR
(33,32),(32,28),-0.430424 # DEPENDENCYPART_GRANDPAR
(33,32),(32,30),-0.32483 # DEPENDENCYPART_GRANDPAR
(33,32),(32,31),-0.334702 # DEPENDENCYPART_GRANDPAR
(0,3),(3,3),(3,4),-0.0577808 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,7),-0.0203685 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,17),-0.0577808 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,19),-0.0203701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,25),-0.0203712 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,28),-0.020375 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,33),0.00810306 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,34),-0.0458627 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,3),(3,4),(3,7),0.00959907 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,17),-0.0203913 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,19),0.00959878 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,25),0.00959887 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,28),0.00959865 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,33),-0.0384839 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,34),-0.039327 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,7),(3,17),-0.0177929 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,7),(3,19),0.00335548 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,7),(3,25),0.0029959 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,7),(3,28),0.00335548 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,7),(3,33),0.0669074 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,7),(3,34),-0.0279941 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,17),(3,19),0.00959878 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,17),(3,25),0.00959887 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,17),(3,28),0.00959865 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,17),(3,33),-0.0384839 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,17),(3,34),-0.039327 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,19),(3,25),0.0029959 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,19),(3,28),0.00335548 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,19),(3,33),0.0668928 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,19),(3,34),-0.0280153 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,25),(3,28),0.00335548 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,25),(3,33),0.0669073 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,25),(3,34),-0.0253225 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,28),(3,33),0.0669 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,28),(3,34),-0.0280002 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,33),(3,34),-0.0135543 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,3),(3,2),0.232059 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,1),0.0825957 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,-1),-0.275737 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,3),(3,2),(3,1),0.0834861 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,2),(3,-1),-0.111332 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,1),(3,-1),-0.168805 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,18),(18,18),(18,19),-0.0482567 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,18),(18,18),(18,20),-0.0360206 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,18),(18,18),(18,21),0.0536738 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,18),(18,18),(18,22),-0.027415 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,18),(18,18),(18,25),-0.0382549 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,18),(18,18),(18,26),-0.188452 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,18),(18,18),(18,28),-0.0405475 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,18),(18,18),(18,33),-0.0883572 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,18),(18,18),(18,34),-0.198807 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,18),(18,19),(18,20),-0.0194777 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,19),(18,21),-0.0690669 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,19),(18,22),0.00777661 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,19),(18,25),0.0248087 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,19),(18,26),0.0931139 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,19),(18,28),0.024765 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,19),(18,33),0.0626647 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,19),(18,34),-0.0770296 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,18),(18,20),(18,21),-0.0261108 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,20),(18,22),-0.00644467 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,20),(18,25),-0.0141779 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,20),(18,26),-0.00146387 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,20),(18,28),-0.0141779 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,20),(18,33),-0.0395304 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,20),(18,34),-0.019492 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,18),(18,21),(18,22),-0.0328494 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,21),(18,25),-0.0204883 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,21),(18,26),-0.0288602 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,21),(18,28),-0.0204898 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,21),(18,33),-0.00883345 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,21),(18,34),-0.0530237 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,18),(18,22),(18,25),-0.000746962 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,22),(18,26),0.0374304 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,22),(18,28),-0.000744493 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,22),(18,33),-0.000293524 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,22),(18,34),-0.0588373 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,18),(18,25),(18,26),0.0982679 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,25),(18,28),0.0271756 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,25),(18,33),0.0679339 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,25),(18,34),-0.0760474 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,18),(18,26),(18,28),-0.00321928 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,26),(18,33),0.0990235 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,26),(18,34),-0.0587455 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,18),(18,28),(18,33),0.067946 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,28),(18,34),-0.0760474 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,18),(18,33),(18,34),0.211699 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,18),(18,18),(18,17),0.123145 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,18),(18,18),(18,16),0.380093 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,18),(18,18),(18,15),0.377282 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,18),(18,18),(18,14),0.109579 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,18),(18,18),(18,13),0.378122 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,18),(18,18),(18,12),0.376316 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,18),(18,18),(18,11),0.234756 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,18),(18,18),(18,10),0.159083 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,18),(18,18),(18,9),0.362631 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,18),(18,18),(18,8),0.163687 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,18),(18,18),(18,7),0.37634 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,18),(18,18),(18,5),0.234756 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,18),(18,18),(18,4),0.123145 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,18),(18,18),(18,3),0.37634 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,18),(18,18),(18,2),0.376339 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,18),(18,18),(18,1),0.221034 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,18),(18,18),(18,-1),-0.641139 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,18),(18,17),(18,16),0.0868899 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,17),(18,15),0.0846974 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,17),(18,14),0.114215 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,17),(18,13),0.0868899 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,17),(18,12),0.0868165 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,17),(18,11),0.119907 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,17),(18,10),0.297608 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,17),(18,9),0.0871636 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,17),(18,8),0.29997 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,17),(18,7),0.0868899 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,17),(18,5),0.119907 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,17),(18,4),0.0709217 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,17),(18,3),0.0868899 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,17),(18,2),0.0868899 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,17),(18,1),0.134897 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,17),(18,-1),-0.360189 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,18),(18,16),(18,15),0.11101 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,16),(18,14),0.13835 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,16),(18,13),0.112059 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,16),(18,12),0.11195 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,16),(18,11),0.0801518 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,16),(18,10),-0.025189 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,16),(18,9),0.114649 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,16),(18,8),-0.069644 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,16),(18,7),0.112059 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,16),(18,5),0.0801518 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,16),(18,4),0.268454 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,16),(18,3),0.111346 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,16),(18,2),0.112059 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,16),(18,1),0.0892865 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,16),(18,-1),0.0869276 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,18),(18,15),(18,14),0.136528 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,15),(18,13),0.11188 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,15),(18,12),0.111771 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,15),(18,11),0.0801518 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,15),(18,10),-0.0261975 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,15),(18,9),0.11447 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,15),(18,8),-0.0706526 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,15),(18,7),0.11188 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,15),(18,5),0.0801518 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,15),(18,4),0.269524 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,15),(18,3),0.111167 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,15),(18,2),0.11188 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,15),(18,1),0.0892812 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,15),(18,-1),0.0847 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,18),(18,14),(18,13),-0.212164 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,14),(18,12),-0.199947 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,14),(18,11),-0.0491868 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,14),(18,10),0.154612 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,14),(18,9),-0.218544 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,14),(18,8),-0.127549 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,14),(18,7),-0.28362 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,14),(18,5),-0.0854188 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,14),(18,4),0.0986416 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,14),(18,3),-0.224635 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,14),(18,2),-0.192084 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,14),(18,1),0.01713 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,14),(18,-1),0.0156157 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,18),(18,13),(18,12),0.11195 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,13),(18,11),0.0801518 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,13),(18,10),-0.025189 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,13),(18,9),0.114649 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,13),(18,8),-0.069644 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,13),(18,7),0.112059 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,13),(18,5),0.0801518 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,13),(18,4),0.271999 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,13),(18,3),0.111346 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,13),(18,2),0.112059 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,13),(18,1),0.0892865 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,13),(18,-1),0.0838609 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,18),(18,12),(18,11),0.0801518 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,12),(18,10),-0.025189 # DEPENDENCYPART_GRANDSIBL
