# _root_ But , IRS private ruling 8940061 notes , no rule or court case bears directly on the issue of adding land to a principal residence .
#goldHeads=14,7,5,5,7,5,14,7,11,11,14,13,11,0,14,14,18,16,18,19,20,20,25,25,22,14,
#predictedHeads=14,14,5,5,7,7,11,11,10,11,14,11,11,0,14,14,18,16,18,19,20,21,25,25,22,14,
(16,18),(16,25),-0.101772 # DEPENDENCYPART_SIBL
(16,18),(16,26),0.0204532 # DEPENDENCYPART_SIBL
(16,19),(16,20),0.00699818 # DEPENDENCYPART_SIBL
(16,19),(16,21),0.0573932 # DEPENDENCYPART_SIBL
(16,19),(16,22),-0.010564 # DEPENDENCYPART_SIBL
(16,19),(16,25),0.0578324 # DEPENDENCYPART_SIBL
(16,19),(16,26),0.0506559 # DEPENDENCYPART_SIBL
(16,20),(16,21),-0.0168989 # DEPENDENCYPART_SIBL
(16,20),(16,22),0.0194461 # DEPENDENCYPART_SIBL
(16,20),(16,25),-0.0184755 # DEPENDENCYPART_SIBL
(16,20),(16,26),0.143728 # DEPENDENCYPART_SIBL
(16,21),(16,22),-0.025068 # DEPENDENCYPART_SIBL
(16,21),(16,25),-0.102192 # DEPENDENCYPART_SIBL
(16,21),(16,26),0.0238151 # DEPENDENCYPART_SIBL
(16,22),(16,25),0.00670293 # DEPENDENCYPART_SIBL
(16,22),(16,26),0.0982722 # DEPENDENCYPART_SIBL
(16,25),(16,26),0.0237584 # DEPENDENCYPART_SIBL
(17,19),(17,20),0.0216566 # DEPENDENCYPART_SIBL
(18,9),(18,11),0.218323 # DEPENDENCYPART_SIBL
(18,9),(18,15),-0.00723221 # DEPENDENCYPART_SIBL
(18,9),(18,16),0.00424909 # DEPENDENCYPART_SIBL
(18,9),(18,17),-0.201666 # DEPENDENCYPART_SIBL
(18,9),(18,19),0.274683 # DEPENDENCYPART_SIBL
(18,9),(18,20),0.152675 # DEPENDENCYPART_SIBL
(18,9),(18,21),0.0511534 # DEPENDENCYPART_SIBL
(18,9),(18,22),0.126663 # DEPENDENCYPART_SIBL
(18,9),(18,25),0.0395708 # DEPENDENCYPART_SIBL
(18,9),(18,26),0.0928885 # DEPENDENCYPART_SIBL
(18,11),(18,15),-0.00920011 # DEPENDENCYPART_SIBL
(18,11),(18,16),0.0316578 # DEPENDENCYPART_SIBL
(18,11),(18,17),0.0439771 # DEPENDENCYPART_SIBL
(18,11),(18,19),-0.0233824 # DEPENDENCYPART_SIBL
(18,11),(18,20),0.039385 # DEPENDENCYPART_SIBL
(18,11),(18,21),0.011804 # DEPENDENCYPART_SIBL
(18,11),(18,22),-0.00768903 # DEPENDENCYPART_SIBL
(18,11),(18,25),0.000127421 # DEPENDENCYPART_SIBL
(18,11),(18,26),0.0668556 # DEPENDENCYPART_SIBL
(18,15),(18,16),-0.000538024 # DEPENDENCYPART_SIBL
(18,15),(18,17),0.0115494 # DEPENDENCYPART_SIBL
(18,15),(18,19),0.0742019 # DEPENDENCYPART_SIBL
(18,15),(18,20),-0.00970552 # DEPENDENCYPART_SIBL
(18,15),(18,21),0.019707 # DEPENDENCYPART_SIBL
(18,15),(18,22),0.00347478 # DEPENDENCYPART_SIBL
(18,15),(18,25),0.00758067 # DEPENDENCYPART_SIBL
(18,15),(18,26),0.0549431 # DEPENDENCYPART_SIBL
(18,16),(18,17),0.0434204 # DEPENDENCYPART_SIBL
(18,16),(18,19),0.0407741 # DEPENDENCYPART_SIBL
(18,16),(18,20),-0.00593719 # DEPENDENCYPART_SIBL
(18,16),(18,21),-0.00196599 # DEPENDENCYPART_SIBL
(18,16),(18,22),0.0115077 # DEPENDENCYPART_SIBL
(18,16),(18,25),-0.0124525 # DEPENDENCYPART_SIBL
(18,16),(18,26),0.100767 # DEPENDENCYPART_SIBL
(18,17),(18,19),0.278079 # DEPENDENCYPART_SIBL
(18,17),(18,20),0.118655 # DEPENDENCYPART_SIBL
(18,17),(18,21),0.00506385 # DEPENDENCYPART_SIBL
(18,17),(18,22),-0.0105216 # DEPENDENCYPART_SIBL
(18,17),(18,25),-0.00640936 # DEPENDENCYPART_SIBL
(18,17),(18,26),-0.0933862 # DEPENDENCYPART_SIBL
(18,19),(18,20),-0.0293967 # DEPENDENCYPART_SIBL
(18,19),(18,21),0.0347225 # DEPENDENCYPART_SIBL
(18,19),(18,22),0.00444124 # DEPENDENCYPART_SIBL
(18,19),(18,25),0.0360073 # DEPENDENCYPART_SIBL
(18,19),(18,26),0.0158693 # DEPENDENCYPART_SIBL
(18,20),(18,21),-0.00106927 # DEPENDENCYPART_SIBL
(18,20),(18,22),-0.000302332 # DEPENDENCYPART_SIBL
(18,20),(18,25),-0.00221757 # DEPENDENCYPART_SIBL
(18,20),(18,26),0.0164902 # DEPENDENCYPART_SIBL
(18,21),(18,22),0.0152518 # DEPENDENCYPART_SIBL
(18,21),(18,25),0.00404864 # DEPENDENCYPART_SIBL
(18,21),(18,26),0.018663 # DEPENDENCYPART_SIBL
(18,22),(18,25),0.0322848 # DEPENDENCYPART_SIBL
(18,22),(18,26),0.0728105 # DEPENDENCYPART_SIBL
(18,25),(18,26),0.0186104 # DEPENDENCYPART_SIBL
(19,17),(19,18),0.0608767 # DEPENDENCYPART_SIBL
(19,17),(19,20),-0.0253951 # DEPENDENCYPART_SIBL
(19,17),(19,21),-0.10194 # DEPENDENCYPART_SIBL
(19,17),(19,22),0.0158111 # DEPENDENCYPART_SIBL
(19,17),(19,24),-0.0446592 # DEPENDENCYPART_SIBL
(19,17),(19,25),-0.0940417 # DEPENDENCYPART_SIBL
(19,18),(19,20),-0.0270233 # DEPENDENCYPART_SIBL
(19,18),(19,21),-0.0636984 # DEPENDENCYPART_SIBL
(19,18),(19,22),-0.00887304 # DEPENDENCYPART_SIBL
(19,18),(19,24),-0.0255084 # DEPENDENCYPART_SIBL
(19,18),(19,25),-0.0458027 # DEPENDENCYPART_SIBL
(19,20),(19,21),-0.040972 # DEPENDENCYPART_SIBL
(19,20),(19,22),-0.0200126 # DEPENDENCYPART_SIBL
(19,20),(19,24),-0.00793378 # DEPENDENCYPART_SIBL
(19,20),(19,25),-0.0425479 # DEPENDENCYPART_SIBL
(19,21),(19,22),-0.049789 # DEPENDENCYPART_SIBL
(19,21),(19,24),-0.0352748 # DEPENDENCYPART_SIBL
(19,21),(19,25),-0.110053 # DEPENDENCYPART_SIBL
(19,22),(19,24),0.0126366 # DEPENDENCYPART_SIBL
(19,22),(19,25),0.00260432 # DEPENDENCYPART_SIBL
(19,24),(19,25),-0.0399429 # DEPENDENCYPART_SIBL
(20,7),(20,18),-0.0866866 # DEPENDENCYPART_SIBL
(20,7),(20,19),-0.00811949 # DEPENDENCYPART_SIBL
(20,7),(20,21),-0.0374759 # DEPENDENCYPART_SIBL
(20,7),(20,22),-0.00318627 # DEPENDENCYPART_SIBL
(20,7),(20,23),-0.112258 # DEPENDENCYPART_SIBL
(20,7),(20,24),-0.00595424 # DEPENDENCYPART_SIBL
(20,7),(20,25),-0.0294729 # DEPENDENCYPART_SIBL
(20,7),(20,26),-0.00469933 # DEPENDENCYPART_SIBL
(20,18),(20,19),0.000990933 # DEPENDENCYPART_SIBL
(20,18),(20,21),-0.0137896 # DEPENDENCYPART_SIBL
(20,18),(20,22),0.00862238 # DEPENDENCYPART_SIBL
(20,18),(20,23),-0.0892856 # DEPENDENCYPART_SIBL
(20,18),(20,24),0.00289414 # DEPENDENCYPART_SIBL
(20,18),(20,25),-0.00578665 # DEPENDENCYPART_SIBL
(20,18),(20,26),0.0398639 # DEPENDENCYPART_SIBL
(20,19),(20,21),-0.0333685 # DEPENDENCYPART_SIBL
(20,19),(20,22),-0.080458 # DEPENDENCYPART_SIBL
(20,19),(20,23),-0.0742083 # DEPENDENCYPART_SIBL
(20,19),(20,24),-0.0294515 # DEPENDENCYPART_SIBL
(20,19),(20,25),-0.0261899 # DEPENDENCYPART_SIBL
(20,19),(20,26),-0.0147176 # DEPENDENCYPART_SIBL
(20,21),(20,22),0.00872145 # DEPENDENCYPART_SIBL
(20,21),(20,23),-0.0144881 # DEPENDENCYPART_SIBL
(20,21),(20,24),-0.0336307 # DEPENDENCYPART_SIBL
(20,21),(20,25),-0.0350433 # DEPENDENCYPART_SIBL
(20,21),(20,26),-0.0112738 # DEPENDENCYPART_SIBL
(20,22),(20,23),-0.0254306 # DEPENDENCYPART_SIBL
(20,22),(20,24),-0.0488544 # DEPENDENCYPART_SIBL
(20,22),(20,25),-0.0295836 # DEPENDENCYPART_SIBL
(20,22),(20,26),-0.0079665 # DEPENDENCYPART_SIBL
(20,23),(20,24),-0.0629007 # DEPENDENCYPART_SIBL
(20,23),(20,25),-0.0339099 # DEPENDENCYPART_SIBL
(20,23),(20,26),-0.0360144 # DEPENDENCYPART_SIBL
(20,24),(20,25),-0.0253771 # DEPENDENCYPART_SIBL
(20,24),(20,26),-0.011443 # DEPENDENCYPART_SIBL
(20,25),(20,26),-0.00977865 # DEPENDENCYPART_SIBL
(21,9),(21,15),-0.00483749 # DEPENDENCYPART_SIBL
(21,9),(21,16),-0.00974145 # DEPENDENCYPART_SIBL
(21,9),(21,17),-0.224178 # DEPENDENCYPART_SIBL
(21,9),(21,18),0.00277683 # DEPENDENCYPART_SIBL
(21,9),(21,19),-0.0372605 # DEPENDENCYPART_SIBL
(21,9),(21,20),0.0757329 # DEPENDENCYPART_SIBL
(21,9),(21,22),0.128839 # DEPENDENCYPART_SIBL
(21,9),(21,23),0.00529879 # DEPENDENCYPART_SIBL
(21,9),(21,24),0.037655 # DEPENDENCYPART_SIBL
(21,9),(21,25),0.0511388 # DEPENDENCYPART_SIBL
(21,9),(21,26),0.0649027 # DEPENDENCYPART_SIBL
(21,15),(21,16),0.00868772 # DEPENDENCYPART_SIBL
(21,15),(21,17),0.0150705 # DEPENDENCYPART_SIBL
(21,15),(21,18),0.00196718 # DEPENDENCYPART_SIBL
(21,15),(21,19),-0.0123084 # DEPENDENCYPART_SIBL
(21,15),(21,20),0.00148097 # DEPENDENCYPART_SIBL
(21,15),(21,22),0.000315675 # DEPENDENCYPART_SIBL
(21,15),(21,23),-0.057152 # DEPENDENCYPART_SIBL
(21,15),(21,24),-0.026481 # DEPENDENCYPART_SIBL
(21,15),(21,25),0.0200689 # DEPENDENCYPART_SIBL
(21,15),(21,26),0.0293484 # DEPENDENCYPART_SIBL
(21,16),(21,17),0.0134897 # DEPENDENCYPART_SIBL
(21,16),(21,18),0.0192289 # DEPENDENCYPART_SIBL
(21,16),(21,19),-0.0273755 # DEPENDENCYPART_SIBL
(21,16),(21,20),0.00845278 # DEPENDENCYPART_SIBL
(21,16),(21,22),-0.00609907 # DEPENDENCYPART_SIBL
(21,16),(21,23),-0.0353675 # DEPENDENCYPART_SIBL
(21,16),(21,24),-0.0406236 # DEPENDENCYPART_SIBL
(21,16),(21,25),-0.0144978 # DEPENDENCYPART_SIBL
(21,16),(21,26),0.0493486 # DEPENDENCYPART_SIBL
(21,17),(21,18),0.0335043 # DEPENDENCYPART_SIBL
(21,17),(21,19),-0.0271621 # DEPENDENCYPART_SIBL
(21,17),(21,20),0.104037 # DEPENDENCYPART_SIBL
(21,17),(21,22),0.00967691 # DEPENDENCYPART_SIBL
(21,17),(21,23),-0.087168 # DEPENDENCYPART_SIBL
(21,17),(21,24),-0.0701025 # DEPENDENCYPART_SIBL
(21,17),(21,25),0.0277679 # DEPENDENCYPART_SIBL
(21,17),(21,26),-0.10335 # DEPENDENCYPART_SIBL
(21,18),(21,19),0.0204662 # DEPENDENCYPART_SIBL
(21,18),(21,20),0.0350236 # DEPENDENCYPART_SIBL
(21,18),(21,22),-0.0657843 # DEPENDENCYPART_SIBL
(21,18),(21,23),-0.0777876 # DEPENDENCYPART_SIBL
(21,18),(21,24),-0.000583539 # DEPENDENCYPART_SIBL
(21,18),(21,25),0.0458339 # DEPENDENCYPART_SIBL
(21,18),(21,26),0.0235536 # DEPENDENCYPART_SIBL
(21,19),(21,20),-0.000693171 # DEPENDENCYPART_SIBL
(21,19),(21,22),-0.0260794 # DEPENDENCYPART_SIBL
(21,19),(21,23),-0.0409113 # DEPENDENCYPART_SIBL
(21,19),(21,24),-0.0483228 # DEPENDENCYPART_SIBL
(21,19),(21,25),-0.00889134 # DEPENDENCYPART_SIBL
(21,19),(21,26),0.00850321 # DEPENDENCYPART_SIBL
(21,20),(21,22),-0.0277697 # DEPENDENCYPART_SIBL
(21,20),(21,23),-0.0722338 # DEPENDENCYPART_SIBL
(21,20),(21,24),-0.0498866 # DEPENDENCYPART_SIBL
(21,20),(21,25),0.00291346 # DEPENDENCYPART_SIBL
(21,20),(21,26),0.0392018 # DEPENDENCYPART_SIBL
(21,22),(21,23),-0.0186927 # DEPENDENCYPART_SIBL
(21,22),(21,24),0.00156726 # DEPENDENCYPART_SIBL
(21,22),(21,25),-0.00158225 # DEPENDENCYPART_SIBL
(21,22),(21,26),0.0598092 # DEPENDENCYPART_SIBL
(21,23),(21,24),-0.00978381 # DEPENDENCYPART_SIBL
(21,23),(21,25),-0.00460299 # DEPENDENCYPART_SIBL
(21,23),(21,26),-0.00362869 # DEPENDENCYPART_SIBL
(21,24),(21,25),-0.0108674 # DEPENDENCYPART_SIBL
(21,24),(21,26),-0.00306085 # DEPENDENCYPART_SIBL
(21,25),(21,26),0.0183241 # DEPENDENCYPART_SIBL
(22,21),(22,23),-0.0311823 # DEPENDENCYPART_SIBL
(22,21),(22,24),-0.00144467 # DEPENDENCYPART_SIBL
(22,21),(22,25),0.0468438 # DEPENDENCYPART_SIBL
(22,21),(22,26),0.0236313 # DEPENDENCYPART_SIBL
(22,23),(22,24),-0.0228833 # DEPENDENCYPART_SIBL
(22,23),(22,25),-0.0193085 # DEPENDENCYPART_SIBL
(22,23),(22,26),-0.00505512 # DEPENDENCYPART_SIBL
(22,24),(22,25),-0.0182046 # DEPENDENCYPART_SIBL
(22,24),(22,26),-0.00435311 # DEPENDENCYPART_SIBL
(22,25),(22,26),0.0018851 # DEPENDENCYPART_SIBL
(24,21),(24,23),0.0215093 # DEPENDENCYPART_SIBL
(25,17),(25,20),0.106982 # DEPENDENCYPART_SIBL
(25,17),(25,21),0.0207321 # DEPENDENCYPART_SIBL
(25,17),(25,22),-0.0491504 # DEPENDENCYPART_SIBL
(25,17),(25,23),-0.293519 # DEPENDENCYPART_SIBL
(25,17),(25,24),0.0653081 # DEPENDENCYPART_SIBL
(25,17),(25,26),-0.116465 # DEPENDENCYPART_SIBL
(25,20),(25,21),0.0158773 # DEPENDENCYPART_SIBL
(25,20),(25,22),-0.014732 # DEPENDENCYPART_SIBL
(25,20),(25,23),0.0161655 # DEPENDENCYPART_SIBL
(25,20),(25,24),0.0148752 # DEPENDENCYPART_SIBL
(25,20),(25,26),0.0409651 # DEPENDENCYPART_SIBL
(25,21),(25,22),-0.00542116 # DEPENDENCYPART_SIBL
(25,21),(25,23),-0.0566345 # DEPENDENCYPART_SIBL
(25,21),(25,24),0.0224323 # DEPENDENCYPART_SIBL
(25,21),(25,26),0.00146704 # DEPENDENCYPART_SIBL
(25,22),(25,23),-0.0363663 # DEPENDENCYPART_SIBL
(25,22),(25,24),-0.00118495 # DEPENDENCYPART_SIBL
(25,22),(25,26),-0.0844985 # DEPENDENCYPART_SIBL
(25,23),(25,24),0.0492311 # DEPENDENCYPART_SIBL
(25,23),(25,26),-0.0355171 # DEPENDENCYPART_SIBL
(25,24),(25,26),-0.0113794 # DEPENDENCYPART_SIBL
(0,0),(0,1),-0.927169 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(0,0),(0,3),-0.509657 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(0,0),(0,7),-0.179458 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(0,0),(0,11),0.0361154 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(0,0),(0,13),-0.408158 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(0,0),(0,14),0.32192 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(0,0),(0,15),-0.427023 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(0,0),(0,27),-0.961202 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(0,1),(0,3),-1.14314 # DEPENDENCYPART_NEXTSIBL
(0,1),(0,7),-1.10027 # DEPENDENCYPART_NEXTSIBL
(0,1),(0,11),-0.94977 # DEPENDENCYPART_NEXTSIBL
(0,1),(0,13),-1.09123 # DEPENDENCYPART_NEXTSIBL
(0,1),(0,14),-0.939831 # DEPENDENCYPART_NEXTSIBL
(0,1),(0,15),-1.02788 # DEPENDENCYPART_NEXTSIBL
(0,1),(0,27),-0.0303379 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,3),(0,7),-1.11062 # DEPENDENCYPART_NEXTSIBL
(0,3),(0,11),-0.913419 # DEPENDENCYPART_NEXTSIBL
(0,3),(0,13),-1.17804 # DEPENDENCYPART_NEXTSIBL
(0,3),(0,14),-0.820738 # DEPENDENCYPART_NEXTSIBL
(0,3),(0,15),-1.03031 # DEPENDENCYPART_NEXTSIBL
(0,3),(0,27),-0.69099 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,7),(0,11),-1.03602 # DEPENDENCYPART_NEXTSIBL
(0,7),(0,13),-1.12737 # DEPENDENCYPART_NEXTSIBL
(0,7),(0,14),-0.896416 # DEPENDENCYPART_NEXTSIBL
(0,7),(0,15),-1.04687 # DEPENDENCYPART_NEXTSIBL
(0,7),(0,27),-0.70325 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,11),(0,13),-1.2477 # DEPENDENCYPART_NEXTSIBL
(0,11),(0,14),-0.987377 # DEPENDENCYPART_NEXTSIBL
(0,11),(0,15),-1.04963 # DEPENDENCYPART_NEXTSIBL
(0,11),(0,27),-1.20612 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,13),(0,14),-1.0647 # DEPENDENCYPART_NEXTSIBL
(0,13),(0,15),-1.15621 # DEPENDENCYPART_NEXTSIBL
(0,13),(0,27),-0.834995 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,14),(0,15),-0.886222 # DEPENDENCYPART_NEXTSIBL
(0,14),(0,27),-0.338945 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,15),(0,27),-0.676439 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,0),(0,-1),-0.486335 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(1,1),(1,2),-0.873312 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,3),-0.631833 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,4),-0.295728 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,5),-0.57507 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,6),-0.514882 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,7),-0.328598 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,8),-0.827789 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,11),0.1604 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,14),0.170667 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,26),-1.11087 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,27),-0.471985 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(1,2),(1,3),-0.609872 # DEPENDENCYPART_NEXTSIBL
(1,2),(1,4),-0.525807 # DEPENDENCYPART_NEXTSIBL
(1,2),(1,5),-0.703796 # DEPENDENCYPART_NEXTSIBL
(1,2),(1,6),-0.689726 # DEPENDENCYPART_NEXTSIBL
(1,2),(1,7),-0.632166 # DEPENDENCYPART_NEXTSIBL
(1,2),(1,8),-1.73779 # DEPENDENCYPART_NEXTSIBL
(1,2),(1,11),-0.591781 # DEPENDENCYPART_NEXTSIBL
(1,2),(1,14),-1.17555 # DEPENDENCYPART_NEXTSIBL
(1,2),(1,26),-1.89905 # DEPENDENCYPART_NEXTSIBL
(1,2),(1,27),-0.840761 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,3),(1,4),-0.807207 # DEPENDENCYPART_NEXTSIBL
(1,3),(1,5),-0.947925 # DEPENDENCYPART_NEXTSIBL
(1,3),(1,6),-0.864309 # DEPENDENCYPART_NEXTSIBL
(1,3),(1,7),-1.12623 # DEPENDENCYPART_NEXTSIBL
(1,3),(1,8),-0.744484 # DEPENDENCYPART_NEXTSIBL
(1,3),(1,11),-0.816303 # DEPENDENCYPART_NEXTSIBL
(1,3),(1,14),-0.737492 # DEPENDENCYPART_NEXTSIBL
(1,3),(1,26),-0.809955 # DEPENDENCYPART_NEXTSIBL
(1,3),(1,27),-0.758779 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,4),(1,5),-0.831726 # DEPENDENCYPART_NEXTSIBL
(1,4),(1,6),-0.67615 # DEPENDENCYPART_NEXTSIBL
(1,4),(1,7),-1.03217 # DEPENDENCYPART_NEXTSIBL
(1,4),(1,8),-0.574589 # DEPENDENCYPART_NEXTSIBL
(1,4),(1,11),-0.798279 # DEPENDENCYPART_NEXTSIBL
(1,4),(1,14),-0.731934 # DEPENDENCYPART_NEXTSIBL
(1,4),(1,26),-0.901168 # DEPENDENCYPART_NEXTSIBL
(1,4),(1,27),-0.929193 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,5),(1,6),-0.702445 # DEPENDENCYPART_NEXTSIBL
(1,5),(1,7),-0.81512 # DEPENDENCYPART_NEXTSIBL
(1,5),(1,8),-0.584632 # DEPENDENCYPART_NEXTSIBL
(1,5),(1,11),-0.795364 # DEPENDENCYPART_NEXTSIBL
(1,5),(1,14),-0.647464 # DEPENDENCYPART_NEXTSIBL
(1,5),(1,26),-0.314101 # DEPENDENCYPART_NEXTSIBL
(1,5),(1,27),-0.976064 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,6),(1,7),-0.838902 # DEPENDENCYPART_NEXTSIBL
(1,6),(1,8),-0.789031 # DEPENDENCYPART_NEXTSIBL
(1,6),(1,11),-0.974782 # DEPENDENCYPART_NEXTSIBL
(1,6),(1,14),-0.944051 # DEPENDENCYPART_NEXTSIBL
(1,6),(1,26),-0.855265 # DEPENDENCYPART_NEXTSIBL
(1,6),(1,27),-0.501871 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,7),(1,8),-0.649433 # DEPENDENCYPART_NEXTSIBL
(1,7),(1,11),-0.950107 # DEPENDENCYPART_NEXTSIBL
(1,7),(1,14),-0.822486 # DEPENDENCYPART_NEXTSIBL
(1,7),(1,26),-0.48063 # DEPENDENCYPART_NEXTSIBL
(1,7),(1,27),-0.800885 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,8),(1,11),-0.29657 # DEPENDENCYPART_NEXTSIBL
(1,8),(1,14),-0.558185 # DEPENDENCYPART_NEXTSIBL
(1,8),(1,26),-1.48866 # DEPENDENCYPART_NEXTSIBL
(1,8),(1,27),-0.706186 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,11),(1,14),-0.817968 # DEPENDENCYPART_NEXTSIBL
(1,11),(1,26),-1.37295 # DEPENDENCYPART_NEXTSIBL
(1,11),(1,27),-1.07595 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,14),(1,26),0.507575 # DEPENDENCYPART_NEXTSIBL
(1,14),(1,27),-0.545192 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,26),(1,27),-1.50013 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,1),(1,-1),-0.827077 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(2,2),(2,27),-0.235668 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(2,2),(2,-1),-0.328132 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(3,3),(3,4),-0.3502 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,5),-0.530748 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,6),-0.432328 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,7),-0.289475 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,8),-0.727551 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,10),-0.511069 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,13),-0.473481 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,14),0.103395 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,16),-0.309701 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,27),-0.410139 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(3,4),(3,5),-0.819967 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,6),-0.698706 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,7),-1.01744 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,8),-0.464937 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,10),-1.10747 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,13),-1.14304 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,14),-0.750158 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,16),-0.964574 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,27),-0.912155 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,5),(3,6),-0.658458 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,7),-0.707825 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,8),-0.366953 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,10),-0.838396 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,13),-0.895855 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,14),-0.636884 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,16),-0.760604 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,27),-0.931121 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,6),(3,7),-0.822225 # DEPENDENCYPART_NEXTSIBL
(3,6),(3,8),-0.654377 # DEPENDENCYPART_NEXTSIBL
(3,6),(3,10),-1.00971 # DEPENDENCYPART_NEXTSIBL
(3,6),(3,13),-1.1184 # DEPENDENCYPART_NEXTSIBL
(3,6),(3,14),-0.955031 # DEPENDENCYPART_NEXTSIBL
(3,6),(3,16),-1.124 # DEPENDENCYPART_NEXTSIBL
(3,6),(3,27),-0.561391 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,7),(3,8),-0.43351 # DEPENDENCYPART_NEXTSIBL
(3,7),(3,10),-0.986934 # DEPENDENCYPART_NEXTSIBL
(3,7),(3,13),-1.02953 # DEPENDENCYPART_NEXTSIBL
(3,7),(3,14),-0.811218 # DEPENDENCYPART_NEXTSIBL
(3,7),(3,16),-0.800542 # DEPENDENCYPART_NEXTSIBL
(3,7),(3,27),-0.761579 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,8),(3,10),-0.157917 # DEPENDENCYPART_NEXTSIBL
(3,8),(3,13),-0.12216 # DEPENDENCYPART_NEXTSIBL
(3,8),(3,14),-0.489612 # DEPENDENCYPART_NEXTSIBL
(3,8),(3,16),-0.824061 # DEPENDENCYPART_NEXTSIBL
(3,8),(3,27),-0.685114 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,10),(3,13),-1.17436 # DEPENDENCYPART_NEXTSIBL
(3,10),(3,14),-0.842801 # DEPENDENCYPART_NEXTSIBL
(3,10),(3,16),-0.858671 # DEPENDENCYPART_NEXTSIBL
(3,10),(3,27),-0.633603 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
