# _root_ For holders who decide not to tender their shares , Sea Containers will issue one share of preferred stock with a stated value of $ 25 , plus a cash dividend on the common stock .
#goldHeads=13,1,4,2,7,7,4,9,7,13,12,13,0,13,16,28,16,19,17,19,23,23,20,23,26,24,28,14,31,31,28,31,35,35,32,13,
#predictedHeads=13,1,4,2,4,7,4,9,7,13,12,13,0,13,16,14,16,19,17,14,23,23,28,23,26,24,28,20,31,31,28,31,35,35,32,13,
(7,12),(7,37),-0.502377 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,13),(7,14),-0.785842 # DEPENDENCYPART_NEXTSIBL
(7,13),(7,15),-0.66838 # DEPENDENCYPART_NEXTSIBL
(7,13),(7,16),-0.747006 # DEPENDENCYPART_NEXTSIBL
(7,13),(7,20),-0.634909 # DEPENDENCYPART_NEXTSIBL
(7,13),(7,27),-0.160457 # DEPENDENCYPART_NEXTSIBL
(7,13),(7,28),-0.855565 # DEPENDENCYPART_NEXTSIBL
(7,13),(7,32),-0.853979 # DEPENDENCYPART_NEXTSIBL
(7,13),(7,36),-0.046979 # DEPENDENCYPART_NEXTSIBL
(7,13),(7,37),-0.536153 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,14),(7,15),-0.789601 # DEPENDENCYPART_NEXTSIBL
(7,14),(7,16),-0.809799 # DEPENDENCYPART_NEXTSIBL
(7,14),(7,20),-0.535826 # DEPENDENCYPART_NEXTSIBL
(7,14),(7,27),-0.191576 # DEPENDENCYPART_NEXTSIBL
(7,14),(7,28),-1.15654 # DEPENDENCYPART_NEXTSIBL
(7,14),(7,32),-0.788002 # DEPENDENCYPART_NEXTSIBL
(7,14),(7,36),0.365545 # DEPENDENCYPART_NEXTSIBL
(7,14),(7,37),-0.956617 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,15),(7,16),-0.797671 # DEPENDENCYPART_NEXTSIBL
(7,15),(7,20),-1.05912 # DEPENDENCYPART_NEXTSIBL
(7,15),(7,27),-0.809739 # DEPENDENCYPART_NEXTSIBL
(7,15),(7,28),-1.09446 # DEPENDENCYPART_NEXTSIBL
(7,15),(7,32),-1.32566 # DEPENDENCYPART_NEXTSIBL
(7,15),(7,36),-0.854458 # DEPENDENCYPART_NEXTSIBL
(7,15),(7,37),-0.613772 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,16),(7,20),-0.35463 # DEPENDENCYPART_NEXTSIBL
(7,16),(7,27),-0.67735 # DEPENDENCYPART_NEXTSIBL
(7,16),(7,28),-0.677982 # DEPENDENCYPART_NEXTSIBL
(7,16),(7,32),-0.284633 # DEPENDENCYPART_NEXTSIBL
(7,16),(7,36),-0.794182 # DEPENDENCYPART_NEXTSIBL
(7,16),(7,37),-0.479279 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,20),(7,27),-0.403752 # DEPENDENCYPART_NEXTSIBL
(7,20),(7,28),-0.774879 # DEPENDENCYPART_NEXTSIBL
(7,20),(7,32),-0.361416 # DEPENDENCYPART_NEXTSIBL
(7,20),(7,36),-0.447861 # DEPENDENCYPART_NEXTSIBL
(7,20),(7,37),-0.343709 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,27),(7,28),-0.608427 # DEPENDENCYPART_NEXTSIBL
(7,27),(7,32),-0.778726 # DEPENDENCYPART_NEXTSIBL
(7,27),(7,36),-0.961747 # DEPENDENCYPART_NEXTSIBL
(7,27),(7,37),-0.977131 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,28),(7,32),-0.346516 # DEPENDENCYPART_NEXTSIBL
(7,28),(7,36),-0.775221 # DEPENDENCYPART_NEXTSIBL
(7,28),(7,37),-0.192649 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,32),(7,36),-0.491083 # DEPENDENCYPART_NEXTSIBL
(7,32),(7,37),-0.260873 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,36),(7,37),-2.11242 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,7),(7,6),0.102239 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,5),-0.61856 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,4),-0.290962 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,3),-0.129122 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,2),-0.22988 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,1),-0.924285 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,-1),-0.649835 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(7,6),(7,5),0.138457 # DEPENDENCYPART_NEXTSIBL
(7,6),(7,4),-0.811137 # DEPENDENCYPART_NEXTSIBL
(7,6),(7,3),-0.69403 # DEPENDENCYPART_NEXTSIBL
(7,6),(7,2),-0.743996 # DEPENDENCYPART_NEXTSIBL
(7,6),(7,1),-0.944854 # DEPENDENCYPART_NEXTSIBL
(7,6),(7,-1),-0.596576 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,5),(7,4),-1.03389 # DEPENDENCYPART_NEXTSIBL
(7,5),(7,3),-0.846832 # DEPENDENCYPART_NEXTSIBL
(7,5),(7,2),-0.946487 # DEPENDENCYPART_NEXTSIBL
(7,5),(7,1),-1.1255 # DEPENDENCYPART_NEXTSIBL
(7,5),(7,-1),-0.901979 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,4),(7,3),-0.568009 # DEPENDENCYPART_NEXTSIBL
(7,4),(7,2),-0.88435 # DEPENDENCYPART_NEXTSIBL
(7,4),(7,1),-0.727394 # DEPENDENCYPART_NEXTSIBL
(7,4),(7,-1),-0.476015 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,3),(7,2),-0.370441 # DEPENDENCYPART_NEXTSIBL
(7,3),(7,1),-0.525343 # DEPENDENCYPART_NEXTSIBL
(7,3),(7,-1),0.0820233 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,2),(7,1),-0.478212 # DEPENDENCYPART_NEXTSIBL
(7,2),(7,-1),-0.754561 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,1),(7,-1),-0.408614 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,8),(8,37),-0.30044 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(8,8),(8,-1),-0.346462 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(9,9),(9,10),-0.830267 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,11),-0.286553 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,12),-0.222454 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,13),-0.0147435 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,14),0.24037 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,15),-0.454622 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,16),0.212679 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,19),-0.0587561 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,27),-0.814441 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,36),-1.04141 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,37),-0.439115 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(9,10),(9,11),-0.299428 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,12),-0.173669 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,13),-0.506135 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,14),-0.515923 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,15),-0.521371 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,16),-0.6592 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,19),-0.651595 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,27),-1.1619 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,36),-1.41306 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,37),-0.599332 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,11),(9,12),-0.905543 # DEPENDENCYPART_NEXTSIBL
(9,11),(9,13),-0.861444 # DEPENDENCYPART_NEXTSIBL
(9,11),(9,14),-0.882662 # DEPENDENCYPART_NEXTSIBL
(9,11),(9,15),-1.00849 # DEPENDENCYPART_NEXTSIBL
(9,11),(9,16),-1.1055 # DEPENDENCYPART_NEXTSIBL
(9,11),(9,19),-1.26558 # DEPENDENCYPART_NEXTSIBL
(9,11),(9,27),-0.444691 # DEPENDENCYPART_NEXTSIBL
(9,11),(9,36),-0.770807 # DEPENDENCYPART_NEXTSIBL
(9,11),(9,37),-0.636972 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,12),(9,13),-0.921772 # DEPENDENCYPART_NEXTSIBL
(9,12),(9,14),-0.911727 # DEPENDENCYPART_NEXTSIBL
(9,12),(9,15),-1.08161 # DEPENDENCYPART_NEXTSIBL
(9,12),(9,16),-1.17643 # DEPENDENCYPART_NEXTSIBL
(9,12),(9,19),-1.34201 # DEPENDENCYPART_NEXTSIBL
(9,12),(9,27),-0.44161 # DEPENDENCYPART_NEXTSIBL
(9,12),(9,36),-0.714804 # DEPENDENCYPART_NEXTSIBL
(9,12),(9,37),-0.524935 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,13),(9,14),-0.741002 # DEPENDENCYPART_NEXTSIBL
(9,13),(9,15),-0.698228 # DEPENDENCYPART_NEXTSIBL
(9,13),(9,16),-0.74238 # DEPENDENCYPART_NEXTSIBL
(9,13),(9,19),-0.761005 # DEPENDENCYPART_NEXTSIBL
(9,13),(9,27),-0.0638687 # DEPENDENCYPART_NEXTSIBL
(9,13),(9,36),0.00382763 # DEPENDENCYPART_NEXTSIBL
(9,13),(9,37),-0.654225 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,14),(9,15),-0.771412 # DEPENDENCYPART_NEXTSIBL
(9,14),(9,16),-0.780989 # DEPENDENCYPART_NEXTSIBL
(9,14),(9,19),-0.757161 # DEPENDENCYPART_NEXTSIBL
(9,14),(9,27),0.0148549 # DEPENDENCYPART_NEXTSIBL
(9,14),(9,36),0.34033 # DEPENDENCYPART_NEXTSIBL
(9,14),(9,37),-1.00352 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,15),(9,16),-0.794667 # DEPENDENCYPART_NEXTSIBL
(9,15),(9,19),-1.14187 # DEPENDENCYPART_NEXTSIBL
(9,15),(9,27),-0.667807 # DEPENDENCYPART_NEXTSIBL
(9,15),(9,36),-0.809018 # DEPENDENCYPART_NEXTSIBL
(9,15),(9,37),-0.703024 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,16),(9,19),-0.961776 # DEPENDENCYPART_NEXTSIBL
(9,16),(9,27),-0.371185 # DEPENDENCYPART_NEXTSIBL
(9,16),(9,36),-0.677815 # DEPENDENCYPART_NEXTSIBL
(9,16),(9,37),-0.466162 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,19),(9,27),-0.260938 # DEPENDENCYPART_NEXTSIBL
(9,19),(9,36),-0.470824 # DEPENDENCYPART_NEXTSIBL
(9,19),(9,37),-0.687347 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,27),(9,36),-0.886841 # DEPENDENCYPART_NEXTSIBL
(9,27),(9,37),-0.768654 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,36),(9,37),-2.02781 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,9),(9,8),-0.357445 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,7),-0.299944 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,6),-0.189582 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,5),-0.496403 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,3),-0.303042 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,2),-0.346318 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,1),-0.881993 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,-1),-0.542424 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(9,8),(9,7),-0.762802 # DEPENDENCYPART_NEXTSIBL
(9,8),(9,6),-1.0193 # DEPENDENCYPART_NEXTSIBL
(9,8),(9,5),-0.938247 # DEPENDENCYPART_NEXTSIBL
(9,8),(9,3),-1.0924 # DEPENDENCYPART_NEXTSIBL
(9,8),(9,2),-0.970079 # DEPENDENCYPART_NEXTSIBL
(9,8),(9,1),-1.22742 # DEPENDENCYPART_NEXTSIBL
(9,8),(9,-1),-0.190248 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,7),(9,6),-0.560288 # DEPENDENCYPART_NEXTSIBL
(9,7),(9,5),-0.721719 # DEPENDENCYPART_NEXTSIBL
(9,7),(9,3),-0.959883 # DEPENDENCYPART_NEXTSIBL
(9,7),(9,2),-0.866493 # DEPENDENCYPART_NEXTSIBL
(9,7),(9,1),-1.295 # DEPENDENCYPART_NEXTSIBL
(9,7),(9,-1),-0.676307 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,6),(9,5),-0.0879313 # DEPENDENCYPART_NEXTSIBL
(9,6),(9,3),-0.907308 # DEPENDENCYPART_NEXTSIBL
(9,6),(9,2),-0.856536 # DEPENDENCYPART_NEXTSIBL
(9,6),(9,1),-1.16197 # DEPENDENCYPART_NEXTSIBL
(9,6),(9,-1),-0.689679 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,5),(9,3),-0.930304 # DEPENDENCYPART_NEXTSIBL
(9,5),(9,2),-0.878173 # DEPENDENCYPART_NEXTSIBL
(9,5),(9,1),-1.15916 # DEPENDENCYPART_NEXTSIBL
(9,5),(9,-1),-0.933851 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,3),(9,2),-0.378679 # DEPENDENCYPART_NEXTSIBL
(9,3),(9,1),-0.699074 # DEPENDENCYPART_NEXTSIBL
(9,3),(9,-1),-0.196025 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,2),(9,1),-0.603645 # DEPENDENCYPART_NEXTSIBL
(9,2),(9,-1),-0.640761 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,1),(9,-1),-0.424547 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,10),(10,37),-0.107293 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(10,10),(10,-1),-0.204106 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(11,11),(11,12),-0.240674 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,13),0.00123466 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,14),0.222963 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,37),-0.397336 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(11,12),(11,13),-0.907384 # DEPENDENCYPART_NEXTSIBL
(11,12),(11,14),-0.915768 # DEPENDENCYPART_NEXTSIBL
(11,12),(11,37),-0.531775 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,13),(11,14),-0.72985 # DEPENDENCYPART_NEXTSIBL
(11,13),(11,37),-0.614252 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,14),(11,37),-1.01159 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,11),(11,10),-1.40753 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,9),-0.402236 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,8),-0.340212 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,-1),-0.429241 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(11,10),(11,9),-0.111278 # DEPENDENCYPART_NEXTSIBL
(11,10),(11,8),-0.96973 # DEPENDENCYPART_NEXTSIBL
(11,10),(11,-1),-0.997793 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,9),(11,8),-0.396278 # DEPENDENCYPART_NEXTSIBL
(11,9),(11,-1),-0.436399 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,8),(11,-1),-0.183538 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,12),(12,13),0.00122964 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,14),0.221692 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,15),-0.466783 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,16),0.197216 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,17),0.214788 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,37),-0.388939 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(12,13),(12,14),-0.730272 # DEPENDENCYPART_NEXTSIBL
(12,13),(12,15),-0.686545 # DEPENDENCYPART_NEXTSIBL
(12,13),(12,16),-0.726912 # DEPENDENCYPART_NEXTSIBL
(12,13),(12,17),-0.615129 # DEPENDENCYPART_NEXTSIBL
(12,13),(12,37),-0.61425 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,14),(12,15),-0.778762 # DEPENDENCYPART_NEXTSIBL
(12,14),(12,16),-0.783233 # DEPENDENCYPART_NEXTSIBL
(12,14),(12,17),-0.606271 # DEPENDENCYPART_NEXTSIBL
(12,14),(12,37),-1.01286 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,15),(12,16),-0.796495 # DEPENDENCYPART_NEXTSIBL
(12,15),(12,17),-1.05791 # DEPENDENCYPART_NEXTSIBL
(12,15),(12,37),-0.717442 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,16),(12,17),-0.457009 # DEPENDENCYPART_NEXTSIBL
(12,16),(12,37),-0.470235 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,17),(12,37),-0.551103 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,12),(12,11),-0.138441 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,10),-1.41044 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,9),-0.393357 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,8),-0.340212 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,-1),-0.440614 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(12,11),(12,10),-0.70984 # DEPENDENCYPART_NEXTSIBL
(12,11),(12,9),-0.589036 # DEPENDENCYPART_NEXTSIBL
(12,11),(12,8),-0.797582 # DEPENDENCYPART_NEXTSIBL
(12,11),(12,-1),-0.586759 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,10),(12,9),-0.113696 # DEPENDENCYPART_NEXTSIBL
(12,10),(12,8),-0.972038 # DEPENDENCYPART_NEXTSIBL
(12,10),(12,-1),-1.0001 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,9),(12,8),-0.394088 # DEPENDENCYPART_NEXTSIBL
(12,9),(12,-1),-0.424653 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,8),(12,-1),-0.183538 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,13),(13,14),0.300487 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,16),0.263436 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,17),-0.0273796 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,19),0.0603536 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,20),-0.479171 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,27),-1.00556 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,28),0.299831 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,36),-1.19001 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,37),-0.742905 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(13,14),(13,16),-0.721326 # DEPENDENCYPART_NEXTSIBL
(13,14),(13,17),-0.617291 # DEPENDENCYPART_NEXTSIBL
(13,14),(13,19),-0.675772 # DEPENDENCYPART_NEXTSIBL
(13,14),(13,20),-0.510195 # DEPENDENCYPART_NEXTSIBL
(13,14),(13,27),-0.132863 # DEPENDENCYPART_NEXTSIBL
(13,14),(13,28),-1.06297 # DEPENDENCYPART_NEXTSIBL
(13,14),(13,36),0.663011 # DEPENDENCYPART_NEXTSIBL
(13,14),(13,37),-0.652869 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,16),(13,17),-0.541336 # DEPENDENCYPART_NEXTSIBL
(13,16),(13,19),-1.0269 # DEPENDENCYPART_NEXTSIBL
(13,16),(13,20),-0.476392 # DEPENDENCYPART_NEXTSIBL
(13,16),(13,27),-0.633205 # DEPENDENCYPART_NEXTSIBL
(13,16),(13,28),-0.729708 # DEPENDENCYPART_NEXTSIBL
(13,16),(13,36),-0.732403 # DEPENDENCYPART_NEXTSIBL
(13,16),(13,37),-0.571429 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,17),(13,19),-0.797356 # DEPENDENCYPART_NEXTSIBL
(13,17),(13,20),-0.651278 # DEPENDENCYPART_NEXTSIBL
(13,17),(13,27),-0.568417 # DEPENDENCYPART_NEXTSIBL
(13,17),(13,28),-0.809837 # DEPENDENCYPART_NEXTSIBL
(13,17),(13,36),-0.505457 # DEPENDENCYPART_NEXTSIBL
(13,17),(13,37),-0.76884 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,19),(13,20),-0.546413 # DEPENDENCYPART_NEXTSIBL
(13,19),(13,27),-0.494476 # DEPENDENCYPART_NEXTSIBL
(13,19),(13,28),-1.00624 # DEPENDENCYPART_NEXTSIBL
(13,19),(13,36),-0.509895 # DEPENDENCYPART_NEXTSIBL
(13,19),(13,37),-0.731763 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,20),(13,27),-0.563517 # DEPENDENCYPART_NEXTSIBL
(13,20),(13,28),-0.864964 # DEPENDENCYPART_NEXTSIBL
(13,20),(13,36),-0.553648 # DEPENDENCYPART_NEXTSIBL
(13,20),(13,37),-0.650904 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,27),(13,28),-0.627183 # DEPENDENCYPART_NEXTSIBL
(13,27),(13,36),-0.977812 # DEPENDENCYPART_NEXTSIBL
(13,27),(13,37),-0.873812 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,28),(13,36),-0.638574 # DEPENDENCYPART_NEXTSIBL
(13,28),(13,37),-0.167342 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,36),(13,37),-1.986 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,13),(13,12),0.161275 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,11),0.122406 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,10),-1.35779 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,9),-0.0444335 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,7),-0.311334 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,5),-0.659739 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,4),-0.257419 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,3),-0.0816902 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,2),0.00740965 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,1),-1.00206 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,-1),-0.68635 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(13,12),(13,11),-0.468953 # DEPENDENCYPART_NEXTSIBL
(13,12),(13,10),0.117268 # DEPENDENCYPART_NEXTSIBL
(13,12),(13,9),-0.941254 # DEPENDENCYPART_NEXTSIBL
(13,12),(13,7),-0.664659 # DEPENDENCYPART_NEXTSIBL
(13,12),(13,5),-1.17328 # DEPENDENCYPART_NEXTSIBL
(13,12),(13,4),-0.756754 # DEPENDENCYPART_NEXTSIBL
(13,12),(13,3),-1.18507 # DEPENDENCYPART_NEXTSIBL
(13,12),(13,2),-1.16975 # DEPENDENCYPART_NEXTSIBL
(13,12),(13,1),-1.36369 # DEPENDENCYPART_NEXTSIBL
(13,12),(13,-1),-0.501326 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,11),(13,10),-0.46 # DEPENDENCYPART_NEXTSIBL
(13,11),(13,9),-0.729081 # DEPENDENCYPART_NEXTSIBL
(13,11),(13,7),-0.686066 # DEPENDENCYPART_NEXTSIBL
(13,11),(13,5),-1.19991 # DEPENDENCYPART_NEXTSIBL
(13,11),(13,4),-0.822638 # DEPENDENCYPART_NEXTSIBL
(13,11),(13,3),-1.241 # DEPENDENCYPART_NEXTSIBL
(13,11),(13,2),-1.1728 # DEPENDENCYPART_NEXTSIBL
(13,11),(13,1),-1.4636 # DEPENDENCYPART_NEXTSIBL
(13,11),(13,-1),-0.610305 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,10),(13,9),-0.00938127 # DEPENDENCYPART_NEXTSIBL
(13,10),(13,7),-0.11343 # DEPENDENCYPART_NEXTSIBL
(13,10),(13,5),-0.752143 # DEPENDENCYPART_NEXTSIBL
(13,10),(13,4),0.0162622 # DEPENDENCYPART_NEXTSIBL
(13,10),(13,3),-0.735581 # DEPENDENCYPART_NEXTSIBL
(13,10),(13,2),-0.384874 # DEPENDENCYPART_NEXTSIBL
(13,10),(13,1),0.0255365 # DEPENDENCYPART_NEXTSIBL
(13,10),(13,-1),-0.982521 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,9),(13,7),-0.983762 # DEPENDENCYPART_NEXTSIBL
(13,9),(13,5),-0.870713 # DEPENDENCYPART_NEXTSIBL
(13,9),(13,4),-1.18126 # DEPENDENCYPART_NEXTSIBL
(13,9),(13,3),-1.21551 # DEPENDENCYPART_NEXTSIBL
(13,9),(13,2),-1.41528 # DEPENDENCYPART_NEXTSIBL
(13,9),(13,1),-1.28189 # DEPENDENCYPART_NEXTSIBL
(13,9),(13,-1),-0.363044 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,7),(13,5),-0.762659 # DEPENDENCYPART_NEXTSIBL
(13,7),(13,4),-1.27305 # DEPENDENCYPART_NEXTSIBL
(13,7),(13,3),-0.951753 # DEPENDENCYPART_NEXTSIBL
(13,7),(13,2),-1.01006 # DEPENDENCYPART_NEXTSIBL
(13,7),(13,1),-1.26816 # DEPENDENCYPART_NEXTSIBL
(13,7),(13,-1),-0.723031 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,5),(13,4),-1.01211 # DEPENDENCYPART_NEXTSIBL
(13,5),(13,3),-0.86983 # DEPENDENCYPART_NEXTSIBL
(13,5),(13,2),-0.874886 # DEPENDENCYPART_NEXTSIBL
(13,5),(13,1),-1.12314 # DEPENDENCYPART_NEXTSIBL
(13,5),(13,-1),-0.977061 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,4),(13,3),-0.544533 # DEPENDENCYPART_NEXTSIBL
(13,4),(13,2),-0.796405 # DEPENDENCYPART_NEXTSIBL
(13,4),(13,1),-0.746562 # DEPENDENCYPART_NEXTSIBL
(13,4),(13,-1),-0.450661 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
