# _root_ Meanwhile , the average yield on taxable funds dropped nearly a tenth of a percentage point , the largest drop since midsummer .
#goldHeads=9,9,5,5,9,5,8,6,0,12,12,9,12,16,16,13,9,20,20,9,20,21,9,
#predictedHeads=9,9,5,5,9,5,8,6,0,12,12,9,12,16,16,13,16,20,20,16,20,21,9,
(1,5),(5,12),-0.519813 # DEPENDENCYPART_GRANDPAR
(1,5),(5,13),-0.267197 # DEPENDENCYPART_GRANDPAR
(1,5),(5,16),-0.564949 # DEPENDENCYPART_GRANDPAR
(1,5),(5,17),-0.356468 # DEPENDENCYPART_GRANDPAR
(1,5),(5,20),-0.613202 # DEPENDENCYPART_GRANDPAR
(1,5),(5,21),-0.184465 # DEPENDENCYPART_GRANDPAR
(1,5),(5,23),-0.658171 # DEPENDENCYPART_GRANDPAR
(1,6),(6,4),-0.231155 # DEPENDENCYPART_GRANDPAR
(1,6),(6,5),-0.233755 # DEPENDENCYPART_GRANDPAR
(1,6),(6,7),-0.264808 # DEPENDENCYPART_GRANDPAR
(1,6),(6,8),-0.239923 # DEPENDENCYPART_GRANDPAR
(1,6),(6,9),-0.325999 # DEPENDENCYPART_GRANDPAR
(1,6),(6,10),-0.100015 # DEPENDENCYPART_GRANDPAR
(1,6),(6,12),-0.578287 # DEPENDENCYPART_GRANDPAR
(1,6),(6,13),-0.249075 # DEPENDENCYPART_GRANDPAR
(1,6),(6,16),-0.616734 # DEPENDENCYPART_GRANDPAR
(1,6),(6,20),-0.652693 # DEPENDENCYPART_GRANDPAR
(1,6),(6,23),-0.762628 # DEPENDENCYPART_GRANDPAR
(1,8),(8,1),-0.93777 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,8),(8,2),0.0766477 # DEPENDENCYPART_GRANDPAR
(1,8),(8,3),0.0115648 # DEPENDENCYPART_GRANDPAR
(1,8),(8,4),-0.114217 # DEPENDENCYPART_GRANDPAR
(1,8),(8,5),-0.120285 # DEPENDENCYPART_GRANDPAR
(1,8),(8,6),-0.106257 # DEPENDENCYPART_GRANDPAR
(1,8),(8,7),-0.182562 # DEPENDENCYPART_GRANDPAR
(1,8),(8,9),-0.268748 # DEPENDENCYPART_GRANDPAR
(1,8),(8,10),0.00463984 # DEPENDENCYPART_GRANDPAR
(1,8),(8,12),-0.535713 # DEPENDENCYPART_GRANDPAR
(1,8),(8,13),-0.278897 # DEPENDENCYPART_GRANDPAR
(1,8),(8,16),-0.578996 # DEPENDENCYPART_GRANDPAR
(1,8),(8,17),-0.365479 # DEPENDENCYPART_GRANDPAR
(1,8),(8,20),-0.629101 # DEPENDENCYPART_GRANDPAR
(1,9),(9,1),-0.868669 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,9),(9,2),0.0792607 # DEPENDENCYPART_GRANDPAR
(1,9),(9,3),-0.0960698 # DEPENDENCYPART_GRANDPAR
(1,9),(9,4),-0.151128 # DEPENDENCYPART_GRANDPAR
(1,9),(9,5),-0.119467 # DEPENDENCYPART_GRANDPAR
(1,9),(9,6),0.117248 # DEPENDENCYPART_GRANDPAR
(1,9),(9,7),-0.225399 # DEPENDENCYPART_GRANDPAR
(1,9),(9,8),-0.139817 # DEPENDENCYPART_GRANDPAR
(1,9),(9,10),-0.0872936 # DEPENDENCYPART_GRANDPAR
(1,9),(9,11),-0.405423 # DEPENDENCYPART_GRANDPAR
(1,9),(9,12),-0.572554 # DEPENDENCYPART_GRANDPAR
(1,9),(9,13),-0.304053 # DEPENDENCYPART_GRANDPAR
(1,9),(9,15),-0.526578 # DEPENDENCYPART_GRANDPAR
(1,9),(9,16),-0.606874 # DEPENDENCYPART_GRANDPAR
(1,9),(9,17),-0.441735 # DEPENDENCYPART_GRANDPAR
(1,9),(9,20),-0.653152 # DEPENDENCYPART_GRANDPAR
(1,9),(9,21),-0.133517 # DEPENDENCYPART_GRANDPAR
(1,9),(9,22),-0.65226 # DEPENDENCYPART_GRANDPAR
(1,9),(9,23),-0.759807 # DEPENDENCYPART_GRANDPAR
(2,1),(1,2),-1.13977 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,1),(1,3),-0.168899 # DEPENDENCYPART_GRANDPAR
(2,1),(1,4),-0.364445 # DEPENDENCYPART_GRANDPAR
(2,1),(1,5),-0.518614 # DEPENDENCYPART_GRANDPAR
(2,1),(1,6),-0.440429 # DEPENDENCYPART_GRANDPAR
(2,1),(1,8),-0.649593 # DEPENDENCYPART_GRANDPAR
(2,1),(1,9),-0.519757 # DEPENDENCYPART_GRANDPAR
(3,2),(2,1),0.0554427 # DEPENDENCYPART_GRANDPAR
(3,4),(4,1),-0.319627 # DEPENDENCYPART_GRANDPAR
(3,4),(4,2),-0.185284 # DEPENDENCYPART_GRANDPAR
(3,4),(4,3),-0.731748 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,4),(4,5),0.0276547 # DEPENDENCYPART_GRANDPAR
(3,4),(4,6),0.125926 # DEPENDENCYPART_GRANDPAR
(3,4),(4,7),-0.0442612 # DEPENDENCYPART_GRANDPAR
(3,4),(4,8),-0.101208 # DEPENDENCYPART_GRANDPAR
(3,4),(4,12),-0.313243 # DEPENDENCYPART_GRANDPAR
(3,4),(4,23),-0.474456 # DEPENDENCYPART_GRANDPAR
(3,6),(6,4),0.193673 # DEPENDENCYPART_GRANDPAR
(3,6),(6,5),0.00751288 # DEPENDENCYPART_GRANDPAR
(3,6),(6,7),-0.0332574 # DEPENDENCYPART_GRANDPAR
(3,6),(6,8),-0.0362665 # DEPENDENCYPART_GRANDPAR
(3,6),(6,9),-0.0578969 # DEPENDENCYPART_GRANDPAR
(3,6),(6,10),0.0735565 # DEPENDENCYPART_GRANDPAR
(3,6),(6,12),-0.262595 # DEPENDENCYPART_GRANDPAR
(3,6),(6,13),-0.0588977 # DEPENDENCYPART_GRANDPAR
(3,6),(6,16),-0.33463 # DEPENDENCYPART_GRANDPAR
(3,6),(6,20),-0.492997 # DEPENDENCYPART_GRANDPAR
(3,6),(6,23),-0.487019 # DEPENDENCYPART_GRANDPAR
(4,1),(1,2),-0.304551 # DEPENDENCYPART_GRANDPAR
(4,1),(1,3),-0.20421 # DEPENDENCYPART_GRANDPAR
(4,1),(1,4),-1.42385 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,1),(1,5),-0.184966 # DEPENDENCYPART_GRANDPAR
(4,1),(1,6),-0.36319 # DEPENDENCYPART_GRANDPAR
(4,1),(1,8),-0.460272 # DEPENDENCYPART_GRANDPAR
(4,1),(1,9),-0.513974 # DEPENDENCYPART_GRANDPAR
(4,2),(2,1),-0.140323 # DEPENDENCYPART_GRANDPAR
(4,3),(3,2),-0.329836 # DEPENDENCYPART_GRANDPAR
(4,3),(3,4),-1.42214 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,3),(3,6),-0.35707 # DEPENDENCYPART_GRANDPAR
(4,5),(5,1),-0.541223 # DEPENDENCYPART_GRANDPAR
(4,5),(5,2),-0.783766 # DEPENDENCYPART_GRANDPAR
(4,5),(5,3),-0.601735 # DEPENDENCYPART_GRANDPAR
(4,5),(5,4),-1.02916 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,5),(5,6),0.0116713 # DEPENDENCYPART_GRANDPAR
(4,5),(5,7),-0.35208 # DEPENDENCYPART_GRANDPAR
(4,5),(5,8),-0.0788542 # DEPENDENCYPART_GRANDPAR
(4,5),(5,9),-0.188893 # DEPENDENCYPART_GRANDPAR
(4,5),(5,10),-0.00160829 # DEPENDENCYPART_GRANDPAR
(4,5),(5,12),-0.448529 # DEPENDENCYPART_GRANDPAR
(4,5),(5,13),-0.123448 # DEPENDENCYPART_GRANDPAR
(4,5),(5,16),-0.599529 # DEPENDENCYPART_GRANDPAR
(4,5),(5,17),0.263284 # DEPENDENCYPART_GRANDPAR
(4,5),(5,20),-0.733517 # DEPENDENCYPART_GRANDPAR
(4,5),(5,21),-0.158316 # DEPENDENCYPART_GRANDPAR
(4,5),(5,23),-0.617798 # DEPENDENCYPART_GRANDPAR
(4,6),(6,4),-1.09184 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,6),(6,5),0.192934 # DEPENDENCYPART_GRANDPAR
(4,6),(6,7),-0.277396 # DEPENDENCYPART_GRANDPAR
(4,6),(6,8),-0.0156402 # DEPENDENCYPART_GRANDPAR
(4,6),(6,9),-0.109599 # DEPENDENCYPART_GRANDPAR
(4,6),(6,10),-0.00285259 # DEPENDENCYPART_GRANDPAR
(4,6),(6,12),-0.40453 # DEPENDENCYPART_GRANDPAR
(4,6),(6,13),-0.0514689 # DEPENDENCYPART_GRANDPAR
(4,6),(6,16),-0.547195 # DEPENDENCYPART_GRANDPAR
(4,6),(6,20),-0.66934 # DEPENDENCYPART_GRANDPAR
(4,6),(6,23),-0.64024 # DEPENDENCYPART_GRANDPAR
(4,7),(7,1),-0.531474 # DEPENDENCYPART_GRANDPAR
(4,7),(7,3),-0.555907 # DEPENDENCYPART_GRANDPAR
(4,7),(7,4),-1.03565 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,7),(7,5),0.218386 # DEPENDENCYPART_GRANDPAR
(4,7),(7,6),0.0249491 # DEPENDENCYPART_GRANDPAR
(4,7),(7,9),-0.122107 # DEPENDENCYPART_GRANDPAR
(4,7),(7,10),0.0324601 # DEPENDENCYPART_GRANDPAR
(4,7),(7,12),-0.424632 # DEPENDENCYPART_GRANDPAR
(4,8),(8,1),-0.541223 # DEPENDENCYPART_GRANDPAR
(4,8),(8,2),-0.783213 # DEPENDENCYPART_GRANDPAR
(4,8),(8,3),-0.601738 # DEPENDENCYPART_GRANDPAR
(4,8),(8,4),-1.03129 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,8),(8,5),0.231609 # DEPENDENCYPART_GRANDPAR
(4,8),(8,6),-0.0563098 # DEPENDENCYPART_GRANDPAR
(4,8),(8,7),-0.282832 # DEPENDENCYPART_GRANDPAR
(4,8),(8,9),-0.190567 # DEPENDENCYPART_GRANDPAR
(4,8),(8,10),0.00243004 # DEPENDENCYPART_GRANDPAR
(4,8),(8,12),-0.454945 # DEPENDENCYPART_GRANDPAR
(4,8),(8,13),-0.130206 # DEPENDENCYPART_GRANDPAR
(4,8),(8,16),-0.604094 # DEPENDENCYPART_GRANDPAR
(4,8),(8,17),0.259065 # DEPENDENCYPART_GRANDPAR
(4,8),(8,20),-0.739934 # DEPENDENCYPART_GRANDPAR
(4,12),(12,2),-0.783162 # DEPENDENCYPART_GRANDPAR
(4,12),(12,3),-0.601735 # DEPENDENCYPART_GRANDPAR
(4,12),(12,7),-0.279719 # DEPENDENCYPART_GRANDPAR
(4,12),(12,8),-0.0449205 # DEPENDENCYPART_GRANDPAR
(4,12),(12,10),-0.0936145 # DEPENDENCYPART_GRANDPAR
(4,12),(12,11),-0.12286 # DEPENDENCYPART_GRANDPAR
(4,12),(12,13),-0.131097 # DEPENDENCYPART_GRANDPAR
(4,12),(12,14),-0.34094 # DEPENDENCYPART_GRANDPAR
(4,12),(12,15),-0.593226 # DEPENDENCYPART_GRANDPAR
(4,12),(12,16),-0.604475 # DEPENDENCYPART_GRANDPAR
(4,12),(12,17),0.248363 # DEPENDENCYPART_GRANDPAR
(4,12),(12,20),-0.740314 # DEPENDENCYPART_GRANDPAR
(4,12),(12,21),-0.16573 # DEPENDENCYPART_GRANDPAR
(4,12),(12,22),-0.843392 # DEPENDENCYPART_GRANDPAR
(4,12),(12,23),-0.609116 # DEPENDENCYPART_GRANDPAR
(4,23),(23,21),-0.0931267 # DEPENDENCYPART_GRANDPAR
(4,23),(23,22),-0.846051 # DEPENDENCYPART_GRANDPAR
(5,1),(1,2),0.0726459 # DEPENDENCYPART_GRANDPAR
(5,1),(1,3),0.117456 # DEPENDENCYPART_GRANDPAR
(5,1),(1,4),0.602079 # DEPENDENCYPART_GRANDPAR
(5,1),(1,5),-1.08607 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,1),(1,6),-0.261651 # DEPENDENCYPART_GRANDPAR
(5,1),(1,8),-0.153438 # DEPENDENCYPART_GRANDPAR
(5,1),(1,9),-0.203748 # DEPENDENCYPART_GRANDPAR
(5,2),(2,1),-0.0486322 # DEPENDENCYPART_GRANDPAR
(5,3),(3,2),0.0176443 # DEPENDENCYPART_GRANDPAR
(5,3),(3,4),0.500099 # DEPENDENCYPART_GRANDPAR
(5,3),(3,6),-0.254261 # DEPENDENCYPART_GRANDPAR
(5,4),(4,1),0.0966769 # DEPENDENCYPART_GRANDPAR
(5,4),(4,2),0.139237 # DEPENDENCYPART_GRANDPAR
(5,4),(4,3),0.065699 # DEPENDENCYPART_GRANDPAR
(5,4),(4,5),-1.08607 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,4),(4,6),-0.232784 # DEPENDENCYPART_GRANDPAR
(5,4),(4,7),-0.276851 # DEPENDENCYPART_GRANDPAR
(5,4),(4,8),-0.153432 # DEPENDENCYPART_GRANDPAR
(5,4),(4,12),-0.468364 # DEPENDENCYPART_GRANDPAR
(5,4),(4,23),-1.08168 # DEPENDENCYPART_GRANDPAR
(5,6),(6,4),0.0802575 # DEPENDENCYPART_GRANDPAR
(5,6),(6,5),-0.593575 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,6),(6,7),0.236362 # DEPENDENCYPART_GRANDPAR
(5,6),(6,8),0.538539 # DEPENDENCYPART_GRANDPAR
(5,6),(6,9),0.30112 # DEPENDENCYPART_GRANDPAR
(5,6),(6,10),0.243996 # DEPENDENCYPART_GRANDPAR
(5,6),(6,12),0.212398 # DEPENDENCYPART_GRANDPAR
(5,6),(6,13),0.0590252 # DEPENDENCYPART_GRANDPAR
(5,6),(6,16),0.0464199 # DEPENDENCYPART_GRANDPAR
(5,6),(6,20),-0.137116 # DEPENDENCYPART_GRANDPAR
(5,6),(6,23),-0.619311 # DEPENDENCYPART_GRANDPAR
(5,7),(7,1),-0.40703 # DEPENDENCYPART_GRANDPAR
(5,7),(7,3),-0.348791 # DEPENDENCYPART_GRANDPAR
(5,7),(7,4),0.0960933 # DEPENDENCYPART_GRANDPAR
(5,7),(7,5),-0.634535 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,7),(7,6),0.13928 # DEPENDENCYPART_GRANDPAR
(5,7),(7,9),0.285059 # DEPENDENCYPART_GRANDPAR
(5,7),(7,10),0.224974 # DEPENDENCYPART_GRANDPAR
(5,7),(7,12),0.186425 # DEPENDENCYPART_GRANDPAR
(5,8),(8,1),-0.449949 # DEPENDENCYPART_GRANDPAR
(5,8),(8,2),-0.508977 # DEPENDENCYPART_GRANDPAR
(5,8),(8,3),-0.429583 # DEPENDENCYPART_GRANDPAR
(5,8),(8,4),0.0359867 # DEPENDENCYPART_GRANDPAR
(5,8),(8,5),-0.590726 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,8),(8,6),0.0988199 # DEPENDENCYPART_GRANDPAR
(5,8),(8,7),0.240061 # DEPENDENCYPART_GRANDPAR
(5,8),(8,9),0.188431 # DEPENDENCYPART_GRANDPAR
(5,8),(8,10),0.152413 # DEPENDENCYPART_GRANDPAR
(5,8),(8,12),0.102759 # DEPENDENCYPART_GRANDPAR
(5,8),(8,13),-0.10466 # DEPENDENCYPART_GRANDPAR
(5,8),(8,16),-0.0673893 # DEPENDENCYPART_GRANDPAR
(5,8),(8,17),0.0954808 # DEPENDENCYPART_GRANDPAR
(5,8),(8,20),-0.274377 # DEPENDENCYPART_GRANDPAR
(5,9),(9,1),-0.513851 # DEPENDENCYPART_GRANDPAR
(5,9),(9,2),-0.517703 # DEPENDENCYPART_GRANDPAR
(5,9),(9,3),-0.438943 # DEPENDENCYPART_GRANDPAR
(5,9),(9,4),0.00663491 # DEPENDENCYPART_GRANDPAR
(5,9),(9,5),-0.701733 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,9),(9,6),0.174484 # DEPENDENCYPART_GRANDPAR
(5,9),(9,7),0.069511 # DEPENDENCYPART_GRANDPAR
(5,9),(9,8),0.217748 # DEPENDENCYPART_GRANDPAR
(5,9),(9,10),0.185989 # DEPENDENCYPART_GRANDPAR
(5,9),(9,11),0.0637245 # DEPENDENCYPART_GRANDPAR
(5,9),(9,12),0.127391 # DEPENDENCYPART_GRANDPAR
(5,9),(9,13),-0.0365088 # DEPENDENCYPART_GRANDPAR
(5,9),(9,15),-0.00560181 # DEPENDENCYPART_GRANDPAR
(5,9),(9,16),-0.0376179 # DEPENDENCYPART_GRANDPAR
(5,9),(9,17),-0.0270023 # DEPENDENCYPART_GRANDPAR
(5,9),(9,20),-0.237531 # DEPENDENCYPART_GRANDPAR
(5,9),(9,21),-0.0311418 # DEPENDENCYPART_GRANDPAR
(5,9),(9,22),-0.270253 # DEPENDENCYPART_GRANDPAR
(5,9),(9,23),-0.714727 # DEPENDENCYPART_GRANDPAR
(5,10),(10,2),-0.399883 # DEPENDENCYPART_GRANDPAR
(5,10),(10,5),-0.554479 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,10),(10,6),0.221507 # DEPENDENCYPART_GRANDPAR
(5,10),(10,7),0.255431 # DEPENDENCYPART_GRANDPAR
(5,10),(10,8),0.374067 # DEPENDENCYPART_GRANDPAR
(5,10),(10,11),0.140431 # DEPENDENCYPART_GRANDPAR
(5,10),(10,12),0.0517851 # DEPENDENCYPART_GRANDPAR
(5,10),(10,13),0.0111813 # DEPENDENCYPART_GRANDPAR
(5,10),(10,15),-0.0748364 # DEPENDENCYPART_GRANDPAR
(5,10),(10,16),-0.10161 # DEPENDENCYPART_GRANDPAR
(5,10),(10,17),0.00922675 # DEPENDENCYPART_GRANDPAR
(5,10),(10,21),-0.111688 # DEPENDENCYPART_GRANDPAR
(5,12),(12,2),-0.508922 # DEPENDENCYPART_GRANDPAR
(5,12),(12,3),-0.429576 # DEPENDENCYPART_GRANDPAR
(5,12),(12,7),0.238818 # DEPENDENCYPART_GRANDPAR
(5,12),(12,8),0.326879 # DEPENDENCYPART_GRANDPAR
(5,12),(12,10),0.132189 # DEPENDENCYPART_GRANDPAR
(5,12),(12,11),0.469746 # DEPENDENCYPART_GRANDPAR
(5,12),(12,13),-0.106684 # DEPENDENCYPART_GRANDPAR
(5,12),(12,14),-0.123082 # DEPENDENCYPART_GRANDPAR
(5,12),(12,15),-0.0156288 # DEPENDENCYPART_GRANDPAR
(5,12),(12,16),-0.0677656 # DEPENDENCYPART_GRANDPAR
(5,12),(12,17),0.0843486 # DEPENDENCYPART_GRANDPAR
(5,12),(12,20),-0.274753 # DEPENDENCYPART_GRANDPAR
(5,12),(12,21),-0.191767 # DEPENDENCYPART_GRANDPAR
(5,12),(12,22),-0.295261 # DEPENDENCYPART_GRANDPAR
(5,12),(12,23),-0.579187 # DEPENDENCYPART_GRANDPAR
(5,13),(13,10),0.108696 # DEPENDENCYPART_GRANDPAR
(5,13),(13,11),0.325622 # DEPENDENCYPART_GRANDPAR
(5,13),(13,12),-0.0699766 # DEPENDENCYPART_GRANDPAR
(5,13),(13,14),0.14955 # DEPENDENCYPART_GRANDPAR
(5,13),(13,15),0.185367 # DEPENDENCYPART_GRANDPAR
(5,13),(13,16),0.147177 # DEPENDENCYPART_GRANDPAR
(5,13),(13,17),0.155381 # DEPENDENCYPART_GRANDPAR
(5,13),(13,20),-0.035887 # DEPENDENCYPART_GRANDPAR
(5,13),(13,22),-0.0863394 # DEPENDENCYPART_GRANDPAR
(5,13),(13,23),-0.573469 # DEPENDENCYPART_GRANDPAR
(5,16),(16,4),0.0359766 # DEPENDENCYPART_GRANDPAR
(5,16),(16,6),0.104854 # DEPENDENCYPART_GRANDPAR
(5,16),(16,7),0.230604 # DEPENDENCYPART_GRANDPAR
(5,16),(16,10),0.113624 # DEPENDENCYPART_GRANDPAR
(5,16),(16,11),0.468285 # DEPENDENCYPART_GRANDPAR
(5,16),(16,12),0.0168204 # DEPENDENCYPART_GRANDPAR
(5,16),(16,13),-0.000179817 # DEPENDENCYPART_GRANDPAR
(5,16),(16,14),0.340774 # DEPENDENCYPART_GRANDPAR
(5,16),(16,15),-0.128261 # DEPENDENCYPART_GRANDPAR
(5,16),(16,17),0.0719348 # DEPENDENCYPART_GRANDPAR
(5,16),(16,18),-0.0422145 # DEPENDENCYPART_GRANDPAR
(5,16),(16,19),-0.1763 # DEPENDENCYPART_GRANDPAR
(5,16),(16,20),-0.282933 # DEPENDENCYPART_GRANDPAR
(5,16),(16,21),-0.202167 # DEPENDENCYPART_GRANDPAR
(5,16),(16,22),-0.303441 # DEPENDENCYPART_GRANDPAR
(5,16),(16,23),-0.575211 # DEPENDENCYPART_GRANDPAR
(5,20),(20,11),0.451219 # DEPENDENCYPART_GRANDPAR
(5,20),(20,14),0.323708 # DEPENDENCYPART_GRANDPAR
(5,20),(20,15),-0.130783 # DEPENDENCYPART_GRANDPAR
(5,20),(20,16),-0.146597 # DEPENDENCYPART_GRANDPAR
(5,20),(20,17),0.0365277 # DEPENDENCYPART_GRANDPAR
(5,20),(20,18),0.148525 # DEPENDENCYPART_GRANDPAR
(5,20),(20,19),0.0319147 # DEPENDENCYPART_GRANDPAR
(5,20),(20,21),-0.196156 # DEPENDENCYPART_GRANDPAR
(5,20),(20,22),-0.308228 # DEPENDENCYPART_GRANDPAR
(5,20),(20,23),-0.586642 # DEPENDENCYPART_GRANDPAR
(5,21),(21,20),-0.394199 # DEPENDENCYPART_GRANDPAR
(5,21),(21,22),-0.269114 # DEPENDENCYPART_GRANDPAR
(5,21),(21,23),-0.653284 # DEPENDENCYPART_GRANDPAR
(5,23),(23,21),-0.201302 # DEPENDENCYPART_GRANDPAR
(5,23),(23,22),-0.464356 # DEPENDENCYPART_GRANDPAR
(6,4),(4,1),-0.0163062 # DEPENDENCYPART_GRANDPAR
(6,4),(4,2),-0.264012 # DEPENDENCYPART_GRANDPAR
(6,4),(4,3),-0.191271 # DEPENDENCYPART_GRANDPAR
(6,4),(4,5),-0.213226 # DEPENDENCYPART_GRANDPAR
(6,4),(4,6),-1.03641 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,4),(4,7),0.297777 # DEPENDENCYPART_GRANDPAR
(6,4),(4,8),0.206392 # DEPENDENCYPART_GRANDPAR
(6,4),(4,12),-0.799646 # DEPENDENCYPART_GRANDPAR
(6,4),(4,23),-0.951033 # DEPENDENCYPART_GRANDPAR
(6,5),(5,1),-0.000870846 # DEPENDENCYPART_GRANDPAR
(6,5),(5,2),-0.301697 # DEPENDENCYPART_GRANDPAR
(6,5),(5,3),-0.228598 # DEPENDENCYPART_GRANDPAR
(6,5),(5,4),-0.201655 # DEPENDENCYPART_GRANDPAR
(6,5),(5,6),-1.05297 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,5),(5,7),0.239809 # DEPENDENCYPART_GRANDPAR
(6,5),(5,8),0.205834 # DEPENDENCYPART_GRANDPAR
(6,5),(5,9),-0.42558 # DEPENDENCYPART_GRANDPAR
(6,5),(5,10),-0.490245 # DEPENDENCYPART_GRANDPAR
(6,5),(5,12),-0.800204 # DEPENDENCYPART_GRANDPAR
(6,5),(5,13),-0.506955 # DEPENDENCYPART_GRANDPAR
(6,5),(5,16),-0.578178 # DEPENDENCYPART_GRANDPAR
(6,5),(5,17),-0.405482 # DEPENDENCYPART_GRANDPAR
(6,5),(5,20),-1.31571 # DEPENDENCYPART_GRANDPAR
(6,5),(5,21),-0.753538 # DEPENDENCYPART_GRANDPAR
(6,5),(5,23),-0.993119 # DEPENDENCYPART_GRANDPAR
(6,7),(7,1),-0.488878 # DEPENDENCYPART_GRANDPAR
(6,7),(7,3),-0.68784 # DEPENDENCYPART_GRANDPAR
(6,7),(7,4),-0.580069 # DEPENDENCYPART_GRANDPAR
(6,7),(7,5),-0.767134 # DEPENDENCYPART_GRANDPAR
(6,7),(7,6),-0.72593 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,7),(7,9),0.0696421 # DEPENDENCYPART_GRANDPAR
(6,7),(7,10),0.0416081 # DEPENDENCYPART_GRANDPAR
(6,7),(7,12),-0.290889 # DEPENDENCYPART_GRANDPAR
(6,8),(8,1),-0.533176 # DEPENDENCYPART_GRANDPAR
(6,8),(8,2),-0.819302 # DEPENDENCYPART_GRANDPAR
(6,8),(8,3),-0.781925 # DEPENDENCYPART_GRANDPAR
(6,8),(8,4),-0.638223 # DEPENDENCYPART_GRANDPAR
(6,8),(8,5),-0.767668 # DEPENDENCYPART_GRANDPAR
(6,8),(8,6),-0.75213 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,8),(8,7),0.895123 # DEPENDENCYPART_GRANDPAR
(6,8),(8,9),0.021096 # DEPENDENCYPART_GRANDPAR
(6,8),(8,10),0.084313 # DEPENDENCYPART_GRANDPAR
(6,8),(8,12),-0.417429 # DEPENDENCYPART_GRANDPAR
(6,8),(8,13),0.0278199 # DEPENDENCYPART_GRANDPAR
(6,8),(8,16),-0.19919 # DEPENDENCYPART_GRANDPAR
(6,8),(8,17),0.138463 # DEPENDENCYPART_GRANDPAR
(6,8),(8,20),-0.951859 # DEPENDENCYPART_GRANDPAR
(6,9),(9,1),-0.496865 # DEPENDENCYPART_GRANDPAR
(6,9),(9,2),-0.734201 # DEPENDENCYPART_GRANDPAR
(6,9),(9,3),-0.679853 # DEPENDENCYPART_GRANDPAR
(6,9),(9,4),-0.569076 # DEPENDENCYPART_GRANDPAR
(6,9),(9,5),-0.791491 # DEPENDENCYPART_GRANDPAR
(6,9),(9,6),-0.682537 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,9),(9,7),0.654001 # DEPENDENCYPART_GRANDPAR
(6,9),(9,8),0.643952 # DEPENDENCYPART_GRANDPAR
(6,9),(9,10),-0.00219416 # DEPENDENCYPART_GRANDPAR
(6,9),(9,11),-0.393383 # DEPENDENCYPART_GRANDPAR
(6,9),(9,12),-0.244126 # DEPENDENCYPART_GRANDPAR
(6,9),(9,13),0.0785435 # DEPENDENCYPART_GRANDPAR
(6,9),(9,15),-0.478908 # DEPENDENCYPART_GRANDPAR
(6,9),(9,16),-0.0169434 # DEPENDENCYPART_GRANDPAR
(6,9),(9,17),0.0480146 # DEPENDENCYPART_GRANDPAR
(6,9),(9,20),-0.759016 # DEPENDENCYPART_GRANDPAR
(6,9),(9,21),-0.148562 # DEPENDENCYPART_GRANDPAR
(6,9),(9,22),-0.782962 # DEPENDENCYPART_GRANDPAR
(6,9),(9,23),-0.591846 # DEPENDENCYPART_GRANDPAR
(6,10),(10,2),-0.726096 # DEPENDENCYPART_GRANDPAR
(6,10),(10,5),-0.782569 # DEPENDENCYPART_GRANDPAR
(6,10),(10,6),-0.708593 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,10),(10,7),0.729703 # DEPENDENCYPART_GRANDPAR
(6,10),(10,8),0.766233 # DEPENDENCYPART_GRANDPAR
(6,10),(10,11),-0.31174 # DEPENDENCYPART_GRANDPAR
(6,10),(10,12),-0.323182 # DEPENDENCYPART_GRANDPAR
(6,10),(10,13),0.145161 # DEPENDENCYPART_GRANDPAR
(6,10),(10,15),-0.551596 # DEPENDENCYPART_GRANDPAR
(6,10),(10,16),-0.0880432 # DEPENDENCYPART_GRANDPAR
(6,10),(10,17),0.0858664 # DEPENDENCYPART_GRANDPAR
(6,10),(10,21),-0.228754 # DEPENDENCYPART_GRANDPAR
(6,12),(12,2),-0.819195 # DEPENDENCYPART_GRANDPAR
(6,12),(12,3),-0.781867 # DEPENDENCYPART_GRANDPAR
(6,12),(12,7),0.879808 # DEPENDENCYPART_GRANDPAR
